"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,972 ","suppressed","suppressed","suppressed","9,833 ","8,901 ","suppressed","8,952 ","589.66 ","suppressed","suppressed","suppressed","705.76 ","707.02 ","suppressed","595.86 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,686 ","suppressed","1,666*","1,270 ","2,477*","1,529 ","1,477 ","1,733 ","183.15 ","suppressed","562.90*","318.10 ","785.47*","116.22 ","304.52 ","217.87 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,607 ","0 ","suppressed","suppressed","2,272 ","1,229 ","suppressed","1,622 ","291.37 ","0 ","suppressed","suppressed","450.98 ","280.97 ","suppressed","324.54 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,764 ","suppressed","suppressed","794*","2,700*","1,606 ","1,668 ","1,779 ","257.59 ","suppressed","suppressed","330.96*","1102.27*","143.57 ","423.42 ","292.97 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,348 ","suppressed","1,337 ","suppressed","suppressed","1,495 ","suppressed","1,594 ","155.62 ","suppressed","108.87 ","suppressed","suppressed","259.15 ","suppressed","176.70 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,475 ","suppressed","1,666*","1,230 ","1,495 ","1,407 ","1,588 ","1,375 ","202.62 ","suppressed","562.90*","357.68 ","236.33 ","118.35 ","319.87 ","249.68 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,803 ","suppressed","suppressed","suppressed","3,129*","1,539 ","0 ","1,840 ","275.30 ","suppressed","suppressed","suppressed","1234.27*","127.35 ","0 ","285.23 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.2% ","suppressed","21.9%*","15.3% ","26.8% ","17.3% ","16.7% ","19.8% ","1.95% ","suppressed","7.64%*","3.96% ","7.48% ","1.47% ","3.74% ","2.25% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.8% ","0% ","suppressed","suppressed","27.4% ","13.3% ","suppressed","18.3% ","3.36% ","0% ","suppressed","suppressed","3.39% ","3.25% ","suppressed","3.74% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.9% ","suppressed","suppressed","9.7%*","28.3%*","18.2% ","18.9% ","20.1% ","2.61% ","suppressed","suppressed","4.49%*","10.12%*","1.57% ","5.27% ","2.92% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.4% ","suppressed","15.9% ","suppressed","suppressed","19.2% ","11.9% ","20.6% ","2.19% ","suppressed","0.48% ","suppressed","suppressed","3.36% ","2.27% ","2.74% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.6% ","suppressed","21.9%*","14.4% ","17.9% ","17.2% ","18.2% ","16.9% ","2.43% ","suppressed","7.64%*","3.93% ","2.69% ","1.31% ","3.97% ","2.90% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","20.1% ","suppressed","suppressed","suppressed","31.8%*","17.3% ","0% ","20.5% ","2.70% ","suppressed","suppressed","suppressed","10.82%*","1.58% ","0% ","2.77% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","61.1% ","56.5% ","64.2% ","67.9% ","62.3% ","59.1% ","63.0% ","60.7% ","3.58% ","9.86% ","6.17% ","4.04% ","3.87% ","6.44% ","4.34% ","4.30% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","13.5% ","suppressed","32.8%*","46.5% ","9.2%*","0.1%*","41.4% ","7.3%*","3.77% ","suppressed","13.87%*","12.03% ","3.20%*","0.07%*","8.77% ","3.37%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","64.3% ","0% ","0% ","19.2%*","60.1% ","92.3% ","7.0%*","76.9% ","7.41% ","0% ","0% ","9.04%*","9.28% ","3.65% ","4.79%*","6.47% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","65.0% ","56.5% ","64.2% ","67.4% ","74.4% ","57.4% ","63.8% ","66.0% ","2.82% ","9.86% ","6.17% ","3.92% ","7.35% ","4.41% ","4.58% ","3.49% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","59.1% ","suppressed","suppressed","suppressed","56.2% ","59.2% ","suppressed","59.2% ","5.54% ","suppressed","suppressed","suppressed","3.76% ","6.96% ","suppressed","5.64% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","25,957 ","suppressed","suppressed","21,427 ","24,840 ","28,257 ","22,091 ","26,821 ","863.50 ","suppressed","suppressed","2987.98 ","1374.00 ","882.30 ","2048.29 ","907.67 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","23,864 ","suppressed","21,604 ","suppressed","suppressed","25,970 ","23,014 ","24,006 ","1750.30 ","suppressed","1281.76 ","suppressed","suppressed","1464.55 ","2164.52 ","1997.04 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","27,787 ","26,849 ","21,072 ","22,117 ","25,025 ","29,573 ","25,268 ","28,156 ","889.92 ","2365.21 ","760.66 ","3015.77 ","1470.45 ","1024.68 ","1626.69 ","974.25 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","21,680 ","suppressed","suppressed","24,472 ","26,376 ","21,744 ","suppressed","24,563 ","2187.76 ","suppressed","suppressed","2297.65 ","3224.59 ","395.72 ","suppressed","1804.09 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","21,739 ","suppressed","suppressed","20,186 ","24,613 ","25,256 ","21,346 ","22,234 ","1621.41 ","suppressed","suppressed","3354.04 ","2452.72 ","1488.62 ","2194.52 ","2505.66 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","27,665 ","suppressed","suppressed","suppressed","24,890 ","28,516 ","27,510 ","27,669 ","847.54 ","suppressed","suppressed","suppressed","1580.84 ","933.52 ","1282.52 ","873.57 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,439 ","suppressed","suppressed","9,218 ","7,973 ","5,807 ","6,135 ","6,506 ","391.09 ","suppressed","suppressed","1479.62 ","707.78 ","399.13 ","1267.76 ","387.81 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,064 ","suppressed","suppressed","suppressed","suppressed","4,147 ","suppressed","4,960 ","1121.66 ","suppressed","suppressed","suppressed","suppressed","826.50 ","suppressed","855.80 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,802 ","suppressed","suppressed","7,726 ","8,903 ","6,539 ","suppressed","7,033 ","414.18 ","suppressed","suppressed","944.88 ","859.60 ","388.74 ","suppressed","390.97 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,534 ","suppressed","suppressed","suppressed","6,222 ","suppressed","suppressed","6,552 ","1118.12 ","suppressed","suppressed","suppressed","982.43 ","suppressed","suppressed","1631.10 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,041 ","suppressed","suppressed","10,173 ","suppressed","6,250 ","6,113 ","8,209 ","974.90 ","suppressed","suppressed","1981.01 ","suppressed","263.66 ","1422.16 ","1168.35 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,195 ","suppressed","suppressed","suppressed","7,783 ","5,768 ","suppressed","6,192 ","390.01 ","suppressed","suppressed","suppressed","769.39 ","432.16 ","suppressed","398.79 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","24.8% ","suppressed","suppressed","43.0% ","32.1% ","20.5% ","27.8% ","24.3% ","1.66% ","suppressed","suppressed","6.07% ","2.95% ","1.49% ","5.84% ","1.65% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.4% ","suppressed","suppressed","suppressed","suppressed","16.0% ","suppressed","20.7% ","5.39% ","suppressed","suppressed","suppressed","suppressed","3.55% ","suppressed","4.27% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","24.5% ","suppressed","suppressed","34.9% ","35.6% ","22.1% ","suppressed","25.0% ","1.81% ","suppressed","suppressed","5.51% ","4.55% ","1.53% ","suppressed","1.80% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.5% ","suppressed","suppressed","suppressed","23.6% ","suppressed","suppressed","26.7% ","4.13% ","suppressed","suppressed","suppressed","1.74% ","suppressed","suppressed","5.76% "
