"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","57.3% ","62.4% ","54.6% ","62.1% ","55.4% ","56.6% ","59.7% ","56.8% ","1.45% ","9.18% ","6.88% ","3.98% ","2.10% ","2.19% ","3.70% ","1.57% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","10.1% ","suppressed","suppressed","13.1%*","8.9%*","1.4%*","29.1% ","6.2%*","2.62% ","suppressed","suppressed","8.29%*","4.36%*","1.11%*","8.60% ","2.49%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","56.0% ","suppressed","suppressed","33.8%*","57.2% ","69.7% ","33.2% ","60.7% ","5.38% ","suppressed","suppressed","12.97%*","7.95% ","11.09% ","9.46% ","6.33% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","60.5% ","suppressed","53.7% ","63.9% ","58.4% ","61.7% ","57.9% ","61.4% ","2.56% ","suppressed","8.14% ","5.61% ","3.90% ","4.27% ","4.36% ","3.11% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","55.0% ","suppressed","suppressed","59.0% ","53.3% ","54.7% ","63.4% ","54.2% ","1.55% ","suppressed","suppressed","3.54% ","2.00% ","2.35% ","6.69% ","1.52% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","27,309 ","24,929 ","31,869 ","25,478 ","28,248 ","26,425 ","28,362 ","27,093 ","610.76 ","1563.91 ","1311.32 ","1385.73 ","1363.68 ","743.71 ","1228.84 ","688.57 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","28,500 ","suppressed","33,252 ","26,081 ","28,234 ","27,688 ","28,998 ","27,981 ","1125.78 ","suppressed","1545.18 ","2410.78 ","1927.46 ","1210.89 ","1930.71 ","1150.29 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","27,177 ","24,155 ","30,086 ","25,424 ","27,843 ","26,863 ","27,304 ","27,160 ","817.73 ","1374.05 ","2354.76 ","1736.40 ","1598.02 ","1027.92 ","1834.53 ","891.96 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","26,698 ","suppressed","suppressed","23,831 ","31,577 ","25,049 ","30,781 ","26,384 ","905.05 ","suppressed","suppressed","1147.72 ","1714.35 ","997.24 ","569.05 ","945.80 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","26,299 ","26,679 ","31,580 ","25,569 ","26,025 ","24,142 ","28,428 ","25,314 ","981.94 ","1749.02 ","2078.42 ","1712.58 ","1875.31 ","1778.34 ","1494.66 ","1195.14 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","27,936 ","suppressed","32,303 ","25,295 ","29,721 ","26,967 ","28,199 ","27,913 ","772.88 ","suppressed","1219.13 ","2430.99 ","1820.54 ","772.40 ","2376.81 ","813.98 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,148 ","suppressed","suppressed","7,749 ","7,436 ","5,664 ","3,464 ","6,698 ","417.95 ","suppressed","suppressed","715.57 ","971.59 ","383.43 ","692.66 ","458.82 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,976 ","suppressed","suppressed","8,301 ","7,037 ","suppressed","suppressed","7,250 ","899.77 ","suppressed","suppressed","810.16 ","710.58 ","suppressed","suppressed","893.13 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,472 ","suppressed","suppressed","7,390 ","6,999 ","6,254 ","4,052*","6,781 ","522.64 ","suppressed","suppressed","1051.22 ","1030.25 ","488.54 ","1219.60*","550.37 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,969 ","suppressed","suppressed","suppressed","suppressed","4,163 ","suppressed","6,097 ","1051.68 ","suppressed","suppressed","suppressed","suppressed","521.25 ","suppressed","1126.65 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","5,956 ","suppressed","suppressed","7,817 ","6,585 ","6,112 ","4,010 ","6,855 ","596.15 ","suppressed","suppressed","940.04 ","951.57 ","1133.42 ","888.12 ","702.26 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,267 ","0 ","suppressed","suppressed","7,999 ","5,558 ","suppressed","6,625 ","568.04 ","0 ","suppressed","suppressed","1449.61 ","371.74 ","suppressed","585.56 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","22.5% ","suppressed","suppressed","30.4% ","26.3% ","21.4% ","12.2% ","24.7% ","1.47% ","suppressed","suppressed","2.19% ","3.17% ","1.22% ","2.71% ","1.53% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","17.5% ","suppressed","suppressed","31.8% ","24.9% ","suppressed","suppressed","25.9% ","3.34% ","suppressed","suppressed","1.54% ","2.17% ","suppressed","suppressed","3.04% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","23.8% ","suppressed","suppressed","29.1% ","25.1% ","23.3% ","14.8%*","25.0% ","1.82% ","suppressed","suppressed","3.42% ","3.44% ","1.46% ","5.11%*","1.84% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","22.4% ","suppressed","suppressed","suppressed","suppressed","16.6% ","suppressed","23.1% ","3.64% ","suppressed","suppressed","suppressed","suppressed","1.84% ","suppressed","3.94% "
