"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","5,874 ","suppressed","suppressed","suppressed","suppressed","6,897 ","suppressed","6,027 ","833.63 ","suppressed","suppressed","suppressed","suppressed","589.06 ","suppressed","794.06 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,309 ","suppressed","suppressed","suppressed","6,399 ","6,460 ","suppressed","6,368 ","471.08 ","suppressed","suppressed","suppressed","884.73 ","583.93 ","suppressed","473.93 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","20.5% ","suppressed","suppressed","21.8% ","15.0% ","24.5% ","suppressed","21.2% ","1.62% ","suppressed","suppressed","5.56% ","2.34% ","2.02% ","suppressed","1.61% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","23.1% ","suppressed","suppressed","suppressed","suppressed","21.5% ","suppressed","20.4% ","3.88% ","suppressed","suppressed","suppressed","suppressed","3.53% ","suppressed","3.06% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","21.5% ","suppressed","suppressed","suppressed","15.4% ","27.5% ","suppressed","21.8% ","2.11% ","suppressed","suppressed","suppressed","2.47% ","2.90% ","suppressed","2.14% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","15.3% ","suppressed","suppressed","suppressed","suppressed","19.2% ","suppressed","19.2% ","2.56% ","suppressed","suppressed","suppressed","suppressed","1.41% ","suppressed","1.39% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","22.4% ","suppressed","suppressed","suppressed","suppressed","34.7% ","suppressed","25.2% ","3.98% ","suppressed","suppressed","suppressed","suppressed","4.60% ","suppressed","4.02% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","19.7% ","suppressed","suppressed","suppressed","16.0% ","22.2% ","suppressed","20.0% ","1.70% ","suppressed","suppressed","suppressed","2.89% ","1.95% ","suppressed","1.71% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","27.1% ","0% ","suppressed","25.3% ","28.2% ","29.5% ","12.5%*","29.2% ","1.86% ","0% ","suppressed","5.61% ","3.98% ","2.34% ","4.44%*","1.95% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","10.3%*","suppressed","suppressed","35.8%*","9.9%*","1.4%*","suppressed","6.7%*","3.27%*","suppressed","suppressed","16.24%*","5.88%*","0.89%*","suppressed","2.80%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","68.2% ","suppressed","0% ","41.3%*","75.8% ","74.8% ","suppressed","71.7% ","5.74% ","suppressed","0% ","14.08%*","10.07% ","7.66% ","suppressed","5.96% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","21.7% ","0% ","suppressed","20.7%*","14.9%*","33.6% ","12.2%*","25.5% ","3.17% ","0% ","suppressed","6.73%*","5.06%*","4.73% ","4.63%*","3.71% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","30.6% ","suppressed","suppressed","suppressed","39.5% ","28.4% ","suppressed","30.9% ","2.25% ","suppressed","suppressed","suppressed","4.23% ","2.57% ","suppressed","2.25% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","20,764 ","suppressed","suppressed","22,083 ","27,505 ","18,808 ","20,379 ","20,802 ","724.35 ","suppressed","suppressed","1574.83 ","1375.68 ","803.62 ","2410.71 ","758.45 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","18,653 ","suppressed","suppressed","22,191 ","22,812 ","15,585 ","suppressed","18,417 ","1322.91 ","suppressed","suppressed","1451.93 ","1771.73 ","2179.76 ","suppressed","1600.57 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","21,853 ","suppressed","suppressed","suppressed","29,338 ","19,777 ","suppressed","21,736 ","839.81 ","suppressed","suppressed","suppressed","1608.24 ","728.29 ","suppressed","836.28 "
