"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,819 ","suppressed","suppressed","4,088 ","3,217 ","1,621 ","suppressed","1,753 ","140.65 ","suppressed","suppressed","111.40 ","253.02 ","126.09 ","suppressed","135.94 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.5% ","10.7%*","31.3% ","29.9% ","20.2% ","16.4% ","25.1% ","18.3% ","1.25% ","4.63%*","3.95% ","3.44% ","2.09% ","1.58% ","3.83% ","1.25% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.0% ","suppressed","suppressed","22.4% ","17.3% ","15.9% ","20.8% ","16.9% ","1.83% ","suppressed","suppressed","2.07% ","3.71% ","2.76% ","3.18% ","2.15% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.4% ","suppressed","29.1% ","33.7% ","20.0% ","17.3% ","34.8% ","18.5% ","1.40% ","suppressed","5.51% ","5.28% ","3.25% ","1.31% ","5.21% ","1.26% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.3% ","suppressed","suppressed","48.5% ","23.7% ","suppressed","suppressed","20.1% ","4.41% ","suppressed","suppressed","1.14% ","1.04% ","suppressed","suppressed","4.70% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.5% ","10.7%*","30.2% ","28.8% ","19.3% ","20.5% ","23.7% ","20.5% ","1.66% ","4.63%*","4.38% ","3.45% ","2.20% ","2.44% ","3.92% ","1.63% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.1% ","suppressed","suppressed","50% ","25.6% ","15.3% ","suppressed","16.4% ","1.78% ","suppressed","suppressed","0% ","2.51% ","1.70% ","suppressed","1.71% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","56.1% ","63.4% ","58.1% ","56.6% ","60.6% ","53.2% ","60.2% ","55.2% ","2.48% ","8.59% ","7.41% ","2.78% ","5.85% ","3.39% ","3.83% ","2.90% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","5.8%*","54.0%*","2.3%*","3.3%*","0.9%*","3.5%*","17.4%*","3.0%*","1.84%*","17.18%*","1.69%*","2.39%*","0.58%*","1.99%*","6.86%*","1.33%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","44.4% ","0% ","21.0%*","6.3%*","13.1%*","77.1% ","9.2%*","52.7% ","5.84% ","0% ","9.95%*","4.72%*","6.52%*","9.21% ","4.16%*","7.45% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","62.5% ","63.4% ","65.4% ","56.0% ","62.4% ","69.6% ","61.9% ","62.7% ","3.03% ","8.59% ","8.62% ","2.89% ","6.51% ","3.74% ","4.04% ","4.01% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","49.7% ","suppressed","suppressed","67.1% ","50.8% ","49.7% ","suppressed","49.9% ","2.87% ","suppressed","suppressed","2.95% ","3.34% ","3.20% ","suppressed","2.98% "
