"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.7% ","suppressed","suppressed","suppressed","14.3% ","24.9% ","suppressed","21.8% ","1.98% ","suppressed","suppressed","suppressed","2.97% ","2.36% ","suppressed","2.03% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","62.9% ","65.7% ","56.3% ","62.8% ","69.4% ","59.8% ","61.1% ","63.2% ","2.32% ","10.94% ","8.98% ","7.57% ","3.78% ","3.21% ","5.82% ","2.53% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","14.6% ","suppressed","suppressed","30.8%*","16.9%*","4.8%*","41.2% ","10.3%*","3.80% ","suppressed","suppressed","11.80%*","9.56%*","2.30%*","10.41% ","4.05%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","58.1% ","0% ","suppressed","19.4%*","54.1% ","78.0% ","13.6%*","65.4% ","5.22% ","0% ","suppressed","9.82%*","9.10% ","7.32% ","6.56%*","5.79% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","68.2% ","67.5% ","58.6% ","64.3% ","72.1% ","70.9% ","63.8% ","70.2% ","3.43% ","11.11% ","9.39% ","7.29% ","7.06% ","5.22% ","5.94% ","4.21% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","59.5% ","suppressed","suppressed","suppressed","67.3% ","57.3% ","suppressed","60.0% ","2.80% ","suppressed","suppressed","suppressed","3.78% ","3.42% ","suppressed","2.84% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","22,956 ","15,670 ","suppressed","18,756 ","19,772 ","25,755 ","17,908 ","23,777 ","1038.24 ","787.29 ","suppressed","1972.74 ","981.52 ","1362.76 ","1248.75 ","1146.17 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","21,316 ","suppressed","suppressed","17,543 ","suppressed","26,916 ","suppressed","22,340 ","2717.29 ","suppressed","suppressed","739.07 ","suppressed","4373.98 ","suppressed","3172.27 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","23,264 ","14,813 ","suppressed","17,516 ","19,791 ","25,617 ","17,692 ","23,774 ","1230.20 ","1016.83 ","suppressed","2620.63 ","987.63 ","1515.46 ","1741.42 ","1294.40 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","22,230 ","16,403 ","suppressed","suppressed","suppressed","26,087 ","suppressed","27,217 ","1927.50 ","570.18 ","suppressed","suppressed","suppressed","2041.12 ","suppressed","1987.19 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","19,311 ","15,437 ","suppressed","17,494 ","17,781 ","24,121 ","17,248 ","20,141 ","1091.04 ","805.40 ","suppressed","2069.80 ","976.63 ","2706.10 ","1143.04 ","1420.45 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","24,982 ","suppressed","suppressed","22,474 ","21,834 ","26,071 ","suppressed","25,308 ","1294.93 ","suppressed","suppressed","1257.88 ","1646.05 ","1511.63 ","suppressed","1344.04 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,824 ","suppressed","suppressed","suppressed","8,651 ","8,129 ","5,480 ","8,205 ","561.43 ","suppressed","suppressed","suppressed","1285.79 ","604.89 ","1490.19 ","566.56 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","9,913 ","suppressed","7,779 ","suppressed","suppressed","10,400 ","7,620 ","10,405 ","1172.56 ","suppressed","738.19 ","suppressed","suppressed","1892.78 ","689.96 ","1316.50 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,950 ","suppressed","suppressed","suppressed","8,155 ","8,005 ","suppressed","7,914 ","609.75 ","suppressed","suppressed","suppressed","1497.17 ","647.75 ","suppressed","628.84 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","suppressed","5,980 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","431.72 ","suppressed","suppressed"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,520 ","suppressed","suppressed","suppressed","10,442 ","8,892 ","suppressed","9,245 ","1047.33 ","suppressed","suppressed","suppressed","1748.32 ","1140.35 ","suppressed","1161.50 "
