"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,149 ","suppressed","3,357 ","2,689 ","2,509 ","1,821 ","2,438 ","2,098 ","152.80 ","suppressed","756.77 ","620.35 ","450.53 ","123.96 ","372.56 ","165.62 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,994*","0 ","suppressed","suppressed","5,336*","1,435 ","suppressed","3,180*","1191.12*","0 ","suppressed","suppressed","2436.93*","302.28 ","suppressed","1326.37*"
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,493 ","2,732*","3,169 ","2,757 ","2,659 ","2,075 ","2,994 ","2,326 ","230.80 ","1219.43*","663.05 ","550.61 ","485.10 ","289.43 ","513.40 ","244.19 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,939 ","suppressed","suppressed","1,696*","3,330*","1,449 ","suppressed","1,940 ","350.84 ","suppressed","suppressed","848.01*","1233.37*","93.31 ","suppressed","361.73 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","20.4% ","19.7%*","30.0% ","24.1% ","27.0% ","15.8% ","24.4% ","19.7% ","1.79% ","7.01%*","4.48% ","4.67% ","5.19% ","1.53% ","3.04% ","2.03% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.0% ","suppressed","suppressed","24.7% ","27.1% ","11.4% ","35.3% ","14.8% ","2.97% ","suppressed","suppressed","6.13% ","2.84% ","2.85% ","5.36% ","2.64% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.4% ","suppressed","29.2% ","24.0% ","22.1% ","18.7% ","20.7% ","20.4% ","1.35% ","suppressed","5.61% ","5.60% ","3.22% ","1.34% ","2.88% ","1.51% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","27.4%*","0% ","suppressed","suppressed","41.3%*","16.4% ","suppressed","29.3%*","9.47%*","0% ","suppressed","suppressed","16.43%*","2.64% ","suppressed","10.45%*"
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","22.6% ","19.9%*","28.9% ","25.4% ","22.7% ","20.4% ","24.7% ","21.8% ","1.85% ","7.03%*","4.62% ","5.50% ","3.51% ","2.80% ","3.22% ","2.19% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.0% ","suppressed","suppressed","18.5%*","32.1% ","13.1% ","suppressed","17.9% ","3.14% ","suppressed","suppressed","6.67%*","9.58% ","1.27% ","suppressed","3.22% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","56.8% ","51.4% ","60.7% ","65.8% ","59.9% ","54.1% ","56.3% ","56.9% ","1.63% ","9.65% ","6.22% ","3.26% ","1.87% ","2.33% ","4.19% ","1.77% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","9.5% ","43.8%*","21.6%*","19.5%*","5.5%*","4.8%*","28.3% ","6.2% ","1.65% ","14.11%*","8.10%*","6.47%*","2.06%*","1.82%*","5.82% ","1.60% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","47.2% ","1.8%*","5.8%*","20.8%*","48.5% ","60.5% ","10.2%*","53.6% ","4.51% ","1.84%*","3.43%*","7.58%*","7.32% ","7.62% ","3.61%*","5.29% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","57.8% ","51.5% ","61.5% ","64.8% ","59.4% ","55.1% ","55.9% ","58.5% ","2.83% ","9.82% ","6.45% ","3.56% ","2.61% ","5.32% ","4.55% ","3.52% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","55.7% ","suppressed","suppressed","70.0% ","60.5% ","53.5% ","60.2% ","55.6% ","1.62% ","suppressed","suppressed","7.08% ","2.52% ","1.97% ","6.65% ","1.65% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","29,752 ","29,797 ","31,927 ","29,611 ","27,377 ","30,386 ","30,351 ","29,635 ","1056.48 ","4391.71 ","2353.07 ","2645.54 ","1719.03 ","1511.11 ","2585.03 ","1159.25 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","31,331 ","suppressed","suppressed","33,977 ","23,097 ","34,297 ","28,738 ","31,826 ","2485.84 ","suppressed","suppressed","2788.92 ","4794.96 ","2923.26 ","3796.64 ","2811.64 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","28,741 ","33,715 ","28,279 ","30,617 ","27,541 ","28,257 ","31,544 ","28,210 ","1168.15 ","5552.96 ","2030.83 ","3669.50 ","1582.97 ","1569.79 ","3295.31 ","1222.81 "
