"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.8% ","suppressed","suppressed","17.9%*","21.3% ","14.2% ","22.2% ","18.1% ","2.03% ","suppressed","suppressed","6.06%*","1.98% ","3.54% ","4.69% ","2.19% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.1% ","suppressed","suppressed","30.3% ","16.0% ","19.6% ","20.8% ","18.9% ","1.17% ","suppressed","suppressed","4.25% ","2.43% ","1.21% ","3.31% ","1.25% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.9% ","suppressed","suppressed","suppressed","15.4% ","22.9% ","suppressed","18.9% ","2.59% ","suppressed","suppressed","suppressed","2.79% ","4.09% ","suppressed","2.51% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.0% ","suppressed","19.0% ","30.0% ","19.1% ","19.1% ","21.6% ","20.7% ","1.41% ","suppressed","3.89% ","3.60% ","2.24% ","2.41% ","2.73% ","1.65% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.6% ","suppressed","suppressed","suppressed","15.1% ","19.1% ","suppressed","17.6% ","1.20% ","suppressed","suppressed","suppressed","2.21% ","1.41% ","suppressed","1.22% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","56.9% ","46.4% ","61.9% ","56.1% ","58.6% ","56.2% ","55.6% ","57.1% ","1.51% ","5.65% ","6.57% ","4.26% ","3.03% ","2.04% ","3.54% ","1.66% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","10.4% ","62.9% ","39.1% ","12.0%*","10.4%*","3.3%*","36.3% ","6.5% ","1.87% ","12.53% ","10.47% ","4.13%*","4.28%*","1.48%*","6.19% ","1.83% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","53.6% ","9.8%*","7.7%*","12.6%*","51.3% ","72.6% ","6.4%*","60.8% ","4.68% ","7.07%*","5.43%*","5.46%*","9.84% ","7.42% ","3.07%*","5.30% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","60.0% ","44.6% ","66.3% ","55.5% ","62.7% ","62.1% ","56.4% ","61.4% ","2.23% ","5.63% ","5.21% ","4.72% ","3.53% ","4.65% ","3.27% ","2.76% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","54.5% ","suppressed","suppressed","60.6% ","55.3% ","54.2% ","suppressed","54.7% ","1.82% ","suppressed","suppressed","6.23% ","4.21% ","1.86% ","suppressed","1.81% "
