"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,454 ","suppressed","suppressed","suppressed","suppressed","1,691 ","suppressed","1,551 ","302.56 ","suppressed","suppressed","suppressed","suppressed","260.30 ","suppressed","372.84 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,574 ","2,268*","2,170 ","1,244 ","1,456*","1,498 ","1,923 ","1,427 ","197.80 ","746.51*","420.11 ","340.84 ","446.88*","172.05 ","334.92 ","237.77 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,543 ","suppressed","suppressed","suppressed","1,655 ","1,640 ","suppressed","1,582 ","108.64 ","suppressed","suppressed","suppressed","314.48 ","112.97 ","suppressed","113.68 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.2% ","24.1% ","24.7% ","14.3% ","19.2% ","19.2% ","21.3% ","18.7% ","1.39% ","6.68% ","4.37% ","3.74% ","4.27% ","1.24% ","3.27% ","1.52% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.1% ","suppressed","suppressed","suppressed","suppressed","13.6% ","suppressed","18.6% ","3.70% ","suppressed","suppressed","suppressed","suppressed","1.62% ","suppressed","3.90% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.2% ","suppressed","24.9% ","12.9%*","15.1% ","21.9% ","20.5% ","18.9% ","1.26% ","suppressed","4.85% ","4.16%*","2.57% ","1.37% ","3.02% ","1.39% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.2% ","suppressed","suppressed","suppressed","suppressed","21.0% ","suppressed","18.2%*","4.60% ","suppressed","suppressed","suppressed","suppressed","3.41% ","suppressed","5.53%*"
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","20.3% ","25.1% ","28.5% ","15.7%*","18.7%*","21.3% ","23.1% ","19.0% ","2.64% ","6.90% ","5.66% ","4.74%*","6.07%*","2.15% ","3.93% ","3.37% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.2% ","suppressed","15.7% ","suppressed","20.2% ","18.7% ","12.5% ","18.5% ","1.19% ","suppressed","1.08% ","suppressed","2.73% ","1.43% ","2.43% ","1.27% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","62.6% ","72.3% ","70.5% ","63.7% ","60.2% ","61.5% ","65.5% ","62.0% ","1.86% ","8.60% ","6.41% ","5.04% ","4.63% ","2.27% ","4.48% ","2.04% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","20.0% ","50.5% ","16.3%*","52.0% ","36.2% ","0.6%*","34.1% ","17.0% ","3.57% ","11.69% ","8.36%*","10.65% ","9.65% ","0.38%*","7.48% ","4.13% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","50.9% ","6.6%*","31.0%*","23.9%*","30.5% ","75.9% ","18.2%*","58.0% ","4.29% ","6.34%*","16.19%*","10.92%*","7.51% ","6.91% ","8.27%*","5.08% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","68.6% ","77.2% ","65.3% ","70.7% ","63.5% ","72.8% ","68.1% ","68.9% ","2.83% ","9.14% ","5.42% ","5.00% ","5.96% ","4.34% ","4.20% ","3.61% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","57.7% ","suppressed","suppressed","48.4% ","53.9% ","58.6% ","suppressed","57.8% ","2.37% ","suppressed","suppressed","7.44% ","5.93% ","2.55% ","suppressed","2.30% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","24,483 ","suppressed","19,973 ","23,553 ","25,565 ","24,976 ","23,828 ","24,628 ","765.29 ","suppressed","1826.18 ","3249.56 ","1666.84 ","756.72 ","2361.04 ","778.54 "
