"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","60.5% ","suppressed","suppressed","29.2%*","58.3% ","76.9% ","31.2%*","66.0% ","4.98% ","suppressed","suppressed","9.54%*","14.41% ","6.19% ","11.66%*","5.47% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","52.8% ","60.2% ","suppressed","58.5% ","45.1% ","50.4% ","54.0% ","52.4% ","3.25% ","9.77% ","suppressed","4.78% ","10.44% ","3.66% ","5.95% ","3.86% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","57.3% ","suppressed","suppressed","69.8% ","71.1% ","53.1% ","86.8% ","55.7% ","3.40% ","suppressed","suppressed","7.26% ","8.44% ","3.47% ","8.45% ","3.40% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","25,600 ","suppressed","suppressed","25,802 ","23,933 ","26,755 ","22,354 ","26,070 ","993.11 ","suppressed","suppressed","1753.54 ","1432.06 ","1304.84 ","2295.85 ","1053.27 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","26,835 ","suppressed","suppressed","suppressed","19,410 ","24,111 ","suppressed","23,617 ","2500.34 ","suppressed","suppressed","suppressed","1194.68 ","1044.84 ","suppressed","948.07 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","25,137 ","suppressed","suppressed","23,983 ","24,039 ","25,693 ","23,353 ","25,295 ","1296.36 ","suppressed","suppressed","1626.02 ","1656.97 ","1865.27 ","1418.42 ","1399.32 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","27,722 ","suppressed","suppressed","suppressed","26,555 ","34,609 ","suppressed","33,674 ","3204.45 ","suppressed","suppressed","suppressed","303.48 ","2504.71 ","suppressed","2192.11 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,363 ","suppressed","suppressed","24,273 ","22,284 ","25,395 ","20,999 ","24,203 ","732.53 ","suppressed","suppressed","1537.52 ","1001.95 ","616.80 ","1891.31 ","709.35 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","27,522 ","suppressed","suppressed","suppressed","28,253 ","27,239 ","suppressed","27,265 ","1425.69 ","suppressed","suppressed","suppressed","2279.82 ","1640.84 ","suppressed","1438.84 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,993 ","suppressed","suppressed","10,015 ","6,805*","6,853 ","suppressed","7,184 ","767.08 ","suppressed","suppressed","1882.82 ","2128.78*","957.56 ","suppressed","835.32 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,851*","suppressed","suppressed","suppressed","suppressed","7,493 ","suppressed","7,323 ","2673.94*","suppressed","suppressed","suppressed","suppressed","1477.39 ","suppressed","1131.71 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,615 ","suppressed","suppressed","9,642 ","5,382 ","6,368 ","6,106 ","6,660 ","812.68 ","suppressed","suppressed","1792.06 ","1515.26 ","1034.48 ","1219.18 ","881.35 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,345 ","suppressed","suppressed","suppressed","23,820 ","suppressed","suppressed","11,357 ","2330.40 ","suppressed","suppressed","suppressed","1985.93 ","suppressed","suppressed","3078.68 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,654 ","suppressed","suppressed","7,714 ","3,664 ","9,656 ","suppressed","7,464 ","916.08 ","suppressed","suppressed","1678.11 ","721.35 ","677.47 ","suppressed","1144.12 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,285 ","suppressed","suppressed","suppressed","15,034 ","5,856 ","suppressed","7,005 ","1098.09 ","suppressed","suppressed","suppressed","2729.22 ","1006.64 ","suppressed","1050.56 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","27.3% ","suppressed","suppressed","38.8% ","28.4% ","25.6% ","suppressed","27.6% ","3.47% ","suppressed","suppressed","6.68% ","7.67% ","4.61% ","suppressed","3.82% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","33.0% ","suppressed","suppressed","suppressed","suppressed","31.1% ","suppressed","31.0% ","7.91% ","suppressed","suppressed","suppressed","suppressed","5.97% ","suppressed","5.12% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","26.3% ","suppressed","suppressed","40.2% ","22.4% ","24.8% ","suppressed","26.3% ","4.04% ","suppressed","suppressed","7.43% ","5.04% ","5.45% ","suppressed","4.34% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","30.1% ","suppressed","suppressed","suppressed","89.7% ","suppressed","suppressed","33.7% ","6.61% ","suppressed","suppressed","suppressed","8.13% ","suppressed","suppressed","8.02% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","28.5% ","suppressed","suppressed","31.8% ","16.4% ","38.0% ","suppressed","30.8% ","3.49% ","suppressed","suppressed","7.56% ","2.74% ","2.56% ","suppressed","4.21% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","26.5% ","suppressed","suppressed","suppressed","53.2% ","21.5% ","suppressed","25.7% ","4.96% ","suppressed","suppressed","suppressed","10.71% ","4.75% ","suppressed","4.90% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","26.2% ","suppressed","suppressed","21.4% ","29.3%*","26.7% ","23.1% ","26.7% ","2.39% ","suppressed","suppressed","3.03% ","9.59%*","2.88% ","5.77% ","2.62% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","12.3%*","suppressed","0% ","22.1%*","40.8%*","0% ","suppressed","9.3%*","4.74%*","suppressed","0% ","9.12%*","14.02%*","0% ","suppressed","4.86%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","53.8% ","0% ","0% ","24.9%*","27.6%*","73.8% ","suppressed","61.0% ","7.87% ","0% ","0% ","10.44%*","15.41%*","8.89% ","suppressed","8.64% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","29.2% ","suppressed","suppressed","21.6% ","40.1%*","29.2% ","28.3% ","29.5% ","3.46% ","suppressed","suppressed","3.48% ","12.35%*","2.85% ","6.37% ","4.10% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","24.1% ","suppressed","suppressed","suppressed","17.2%*","26.0% ","suppressed","25.2% ","3.17% ","suppressed","suppressed","suppressed","5.39%*","3.78% ","suppressed","3.30% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","17,997 ","suppressed","suppressed","17,580 ","16,385 ","18,270 ","16,742 ","18,172 ","494.57 ","suppressed","suppressed","1832.16 ","2045.94 ","441.16 ","2259.60 ","458.55 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","17,562 ","suppressed","suppressed","16,756 ","16,194 ","18,369 ","15,467 ","18,316 ","914.89 ","suppressed","suppressed","1926.65 ","3159.04 ","571.80 ","2313.54 ","866.62 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","18,295 ","suppressed","suppressed","suppressed","16,659 ","18,239 ","suppressed","18,098 ","542.06 ","suppressed","suppressed","suppressed","2080.62 ","546.97 ","suppressed","528.45 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","5,084 ","suppressed","suppressed","7,335 ","5,506 ","4,774 ","3,689*","5,279 ","511.58 ","suppressed","suppressed","1942.66 ","1181.67 ","485.79 ","1221.69*","556.87 "
"II.E.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for employee-plus-one coverage at private-sector establishments that offer health insurance","5,587 ","suppressed","suppressed","7,233*","suppressed","6,192 ","suppressed","6,670 ","894.40 ","suppressed","suppressed","2191.24*","suppressed","556.10 ","suppressed","1016.75 "
