"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,673 ","suppressed","suppressed","1,847 ","1,422 ","1,808 ","suppressed","1,675 ","127.98 ","suppressed","suppressed","350.04 ","236.10 ","151.11 ","suppressed","132.84 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","17.7% ","31.5% ","24.3% ","17.1% ","15.2% ","17.8% ","20.7% ","17.1% ","1.16% ","7.97% ","5.66% ","2.03% ","2.25% ","1.61% ","3.10% ","1.23% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","14.9% ","suppressed","suppressed","11.9%*","10.%*","16.3% ","19.4%*","13.6% ","2.55% ","suppressed","suppressed","3.64%*","4.16%*","2.46% ","6.23%*","2.70% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.1% ","suppressed","suppressed","18.4% ","16.2% ","18.2% ","20.5% ","17.7% ","1.35% ","suppressed","suppressed","2.03% ","2.13% ","2.14% ","3.37% ","1.45% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","23.0% ","suppressed","suppressed","24.0% ","suppressed","19.3% ","suppressed","22.2% ","3.11% ","suppressed","suppressed","4.59% ","suppressed","2.95% ","suppressed","2.72% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","19.9% ","33.5% ","25.0% ","17.4% ","22.6% ","15.8% ","22.0% ","18.7% ","2.23% ","7.99% ","6.64% ","2.84% ","4.27% ","3.05% ","3.65% ","2.63% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","16.4% ","suppressed","suppressed","16.4% ","13.1% ","18.7% ","suppressed","16.5% ","1.33% ","suppressed","suppressed","2.40% ","2.35% ","1.61% ","suppressed","1.39% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","59.6% ","73.5% ","65.1% ","64.6% ","62.0% ","55.2% ","64.4% ","58.6% ","1.37% ","8.61% ","6.18% ","3.48% ","3.46% ","1.58% ","3.44% ","1.47% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","10.3% ","40.0%*","28.4%*","13.1%*","12.9%*","2.9%*","24.1% ","7.1%*","2.79% ","13.03%*","10.43%*","4.84%*","8.51%*","1.22%*","5.77% ","3.18%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","56.3% ","2.4%*","14.2%*","27.1%*","70.5% ","68.3% ","12.2%*","66.4% ","4.87% ","2.42%*","9.11%*","8.60%*","7.53% ","9.64% ","5.70%*","6.06% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","64.5% ","73.0% ","63.8% ","66.6% ","69.3% ","58.8% ","66.2% ","63.5% ","2.32% ","8.74% ","6.47% ","3.96% ","4.07% ","3.64% ","3.49% ","2.95% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","56.3% ","suppressed","suppressed","59.7% ","59.5% ","53.7% ","suppressed","56.4% ","1.59% ","suppressed","suppressed","6.96% ","3.94% ","1.47% ","suppressed","1.59% "
