"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,224 ","suppressed","suppressed","6,993 ","7,497*","7,175 ","5,677 ","7,379 ","734.57 ","suppressed","suppressed","1875.45 ","3259.39*","582.61 ","1473.44 ","795.35 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","9,447 ","suppressed","suppressed","suppressed","suppressed","5,883 ","suppressed","9,615 ","2479.11 ","suppressed","suppressed","suppressed","suppressed","545.29 ","suppressed","2598.51 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,930 ","suppressed","suppressed","6,621 ","3,825*","7,636 ","5,463 ","7,110 ","753.43 ","suppressed","suppressed","1936.28 ","1995.59*","743.18 ","1491.94 ","828.97 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,048 ","suppressed","suppressed","suppressed","suppressed","5,791 ","suppressed","7,023 ","1047.22 ","suppressed","suppressed","suppressed","suppressed","904.60 ","suppressed","1064.22 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,954 ","suppressed","suppressed","7,037*","15,175 ","7,793 ","6,213 ","9,463 ","1355.98 ","suppressed","suppressed","2361.56*","4548.05 ","1084.69 ","1491.00 ","1594.29 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,347 ","suppressed","suppressed","suppressed","3,637*","6,934 ","suppressed","6,433 ","737.89 ","suppressed","suppressed","suppressed","1719.37*","680.18 ","suppressed","766.25 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","27.3% ","suppressed","suppressed","24.7%*","28.1%*","27.2% ","20.5%*","28.0% ","2.95% ","suppressed","suppressed","7.62%*","13.70%*","1.95% ","6.88%*","3.17% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","35.1% ","suppressed","suppressed","suppressed","suppressed","21.8% ","suppressed","35.5% ","8.82% ","suppressed","suppressed","suppressed","suppressed","1.17% ","suppressed","9.19% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.5% ","suppressed","suppressed","23.0%*","13.0%*","28.5% ","19.5%*","26.3% ","3.09% ","suppressed","suppressed","7.58%*","7.91%*","2.56% ","6.94%*","3.37% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","31.3% ","suppressed","suppressed","suppressed","48.5% ","24.5% ","suppressed","31.3% ","4.03% ","suppressed","suppressed","suppressed","7.61% ","1.31% ","suppressed","4.13% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","35.9% ","suppressed","suppressed","28.2%*","57.6% ","31.4% ","23.1% ","38.5% ","4.75% ","suppressed","suppressed","9.17%*","13.05% ","3.39% ","6.01% ","5.61% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","23.3% ","suppressed","suppressed","suppressed","13.5%*","25.7% ","suppressed","23.7% ","3.05% ","suppressed","suppressed","suppressed","8.32%*","2.26% ","suppressed","3.13% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","23.8% ","suppressed","suppressed","22.0% ","23.7% ","25.1% ","18.7% ","24.5% ","1.58% ","suppressed","suppressed","5.29% ","5.15% ","1.64% ","4.96% ","1.64% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","10.8%*","suppressed","2.1%*","41.0%*","32.9%*","0.4%*","36.7%*","8.2%*","5.34%*","suppressed","2.28%*","15.69%*","21.19%*","0.34%*","15.84%*","5.60%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","66.4% ","suppressed","suppressed","45.0%*","66.5% ","71.9% ","42.1%*","68.8% ","7.15% ","suppressed","suppressed","15.93%*","14.78% ","9.65% ","16.61%*","7.78% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","21.8% ","suppressed","suppressed","16.7% ","19.7% ","27.2% ","13.2% ","24.7% ","2.77% ","suppressed","suppressed","4.43% ","4.16% ","4.59% ","3.34% ","3.23% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","25.0% ","suppressed","suppressed","suppressed","26.5%*","24.3% ","suppressed","24.4% ","1.94% ","suppressed","suppressed","suppressed","8.20%*","1.46% ","suppressed","1.90% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","18,227 ","suppressed","18,182 ","20,911 ","16,837 ","17,874 ","22,802 ","17,748 ","698.71 ","suppressed","1775.55 ","1828.24 ","1950.35 ","619.22 ","3206.60 ","611.98 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","18,646 ","suppressed","suppressed","20,684 ","19,868 ","16,086 ","24,892 ","17,010 ","1257.62 ","suppressed","suppressed","2218.07 ","1138.30 ","500.56 ","3311.14 ","642.96 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","17,970 ","suppressed","suppressed","suppressed","14,536 ","18,638 ","suppressed","18,115 ","814.18 ","suppressed","suppressed","suppressed","2497.84 ","797.75 ","suppressed","836.30 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,853 ","suppressed","suppressed","5,290*","7,120 ","4,000 ","5,660*","4,769 ","432.04 ","suppressed","suppressed","2104.23*","1303.07 ","322.30 ","2149.05*","417.75 "
