"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","19.0% ","suppressed","suppressed","suppressed","16.1% ","20.5% ","suppressed","19.5% ","1.53% ","suppressed","suppressed","suppressed","3.31% ","1.73% ","suppressed","1.53% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","58.3% ","73.6% ","56.2% ","65.7% ","56.6% ","56.3% ","66.1% ","56.6% ","1.37% ","9.69% ","4.41% ","4.64% ","1.97% ","1.88% ","3.93% ","1.36% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","13.3% ","suppressed","26.2%*","32.8% ","19.4%*","2.5%*","24.4% ","10.4% ","2.57% ","suppressed","10.45%*","8.93% ","7.01%*","1.12%*","5.87% ","2.92% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","43.2% ","0% ","15.2%*","0.4%*","31.4% ","72.5% ","5.4%*","53.0% ","4.07% ","0% ","10.14%*","0.41%*","8.45% ","5.39% ","3.82%*","4.71% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","60.2% ","73.6% ","57.2% ","65.6% ","57.8% ","55.3% ","67.2% ","57.1% ","2.24% ","9.69% ","4.50% ","4.65% ","2.47% ","5.25% ","4.00% ","2.45% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","56.0% ","suppressed","suppressed","suppressed","54.0% ","56.7% ","suppressed","56.2% ","1.44% ","suppressed","suppressed","suppressed","2.93% ","1.60% ","suppressed","1.42% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","29,371 ","suppressed","27,800 ","30,623 ","30,695 ","28,893 ","26,474 ","29,886 ","815.76 ","suppressed","1740.83 ","1248.66 ","1807.30 ","1186.65 ","1311.89 ","925.89 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","28,682 ","suppressed","27,175 ","suppressed","25,731 ","30,416 ","suppressed","28,625 ","1166.49 ","suppressed","473.64 ","suppressed","631.69 ","1846.20 ","suppressed","1249.63 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","29,616 ","22,818 ","28,651 ","30,675 ","31,210 ","28,748 ","26,974 ","30,049 ","943.58 ","1487.15 ","2006.79 ","1354.14 ","2045.42 ","1423.86 ","1467.56 ","1060.97 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","27,821 ","suppressed","suppressed","26,802 ","suppressed","28,368 ","suppressed","30,038 ","2249.50 ","suppressed","suppressed","686.34 ","suppressed","1637.28 ","suppressed","2934.35 "
