"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","58.1% ","69.4% ","74.5% ","61.7% ","61.4% ","53.6% ","67.6% ","56.9% ","1.58% ","5.99% ","7.78% ","7.48% ","2.93% ","1.84% ","4.14% ","1.69% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","17.4% ","59.1% ","33.7%*","44.2% ","20.7%*","3.8%*","41.4% ","13.8% ","2.91% ","11.55% ","13.74%*","12.15% ","6.27%*","1.42%*","7.74% ","3.15% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","57.3% ","8.2%*","9.1%*","12.7%*","60.3% ","75.4% ","8.0%*","64.7% ","4.08% ","5.69%*","7.39%*","7.36%*","7.52% ","6.15% ","3.93%*","4.60% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","64.1% ","69.2% ","73.7% ","67.2% ","64.0% ","57.6% ","66.9% ","63.1% ","2.52% ","6.31% ","8.48% ","4.77% ","4.01% ","5.24% ","4.42% ","3.06% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","54.3% ","suppressed","suppressed","suppressed","59.7% ","52.4% ","77.5% ","54.0% ","1.89% ","suppressed","suppressed","suppressed","3.90% ","1.70% ","6.85% ","1.90% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","25,053 ","21,755 ","23,622 ","23,288 ","24,179 ","25,807 ","21,949 ","25,371 ","573.75 ","2456.84 ","2339.47 ","1546.46 ","1508.87 ","645.55 ","1374.49 ","609.24 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","24,787 ","suppressed","suppressed","22,127 ","24,896 ","26,581 ","19,028 ","25,510 ","1453.39 ","suppressed","suppressed","2272.03 ","2192.89 ","2262.99 ","1999.88 ","1583.90 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","25,035 ","suppressed","24,733 ","23,258 ","23,448 ","25,701 ","22,452 ","25,301 ","653.33 ","suppressed","2184.79 ","1855.82 ","2372.79 ","690.45 ","1611.26 ","695.25 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","26,048 ","suppressed","suppressed","26,288 ","25,204 ","26,338 ","31,868 ","25,838 ","1442.36 ","suppressed","suppressed","2491.39 ","2289.46 ","2066.32 ","1510.55 ","1490.69 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","24,286 ","22,684 ","25,351 ","23,231 ","26,554 ","23,188 ","22,660 ","24,821 ","918.94 ","2646.67 ","1732.01 ","1604.06 ","2182.97 ","1042.95 ","1394.81 ","1127.19 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","25,472 ","suppressed","suppressed","suppressed","22,563 ","26,547 ","suppressed","25,599 ","716.12 ","suppressed","suppressed","suppressed","1915.05 ","688.85 ","suppressed","714.22 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,913 ","suppressed","suppressed","12,964 ","8,053 ","7,095 ","11,247 ","7,571 ","466.94 ","suppressed","suppressed","1274.73 ","830.26 ","583.38 ","1448.26 ","479.56 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,682 ","suppressed","suppressed","13,092 ","7,518 ","7,284 ","suppressed","7,665 ","937.39 ","suppressed","suppressed","1952.18 ","1210.14 ","1776.96 ","suppressed","1019.81 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,794 ","suppressed","suppressed","12,821 ","7,637 ","7,090 ","12,033 ","7,357 ","542.38 ","suppressed","suppressed","1619.95 ","1056.91 ","637.93 ","1776.19 ","548.18 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","10,114 ","suppressed","suppressed","suppressed","12,107 ","6,779 ","suppressed","9,894 ","1496.72 ","suppressed","suppressed","suppressed","2132.89 ","1443.24 ","suppressed","1536.51 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","9,787 ","suppressed","suppressed","12,770 ","9,883 ","7,903 ","11,730 ","9,148 ","995.46 ","suppressed","suppressed","1352.44 ","1758.81 ","1705.99 ","1502.62 ","1177.70 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,888 ","suppressed","suppressed","suppressed","6,807 ","6,866 ","suppressed","6,916 ","481.99 ","suppressed","suppressed","suppressed","673.72 ","599.39 ","suppressed","486.59 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","31.6% ","suppressed","suppressed","55.7% ","33.3% ","27.5% ","51.2% ","29.8% ","1.96% ","suppressed","suppressed","5.07% ","4.13% ","2.26% ","6.35% ","1.97% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","31.0% ","suppressed","suppressed","59.2% ","30.2% ","27.4% ","suppressed","30.0% ","3.95% ","suppressed","suppressed","6.54% ","5.09% ","6.64% ","suppressed","4.12% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","31.1% ","suppressed","suppressed","55.1% ","32.6% ","27.6% ","53.6% ","29.1% ","2.26% ","suppressed","suppressed","6.49% ","6.17% ","2.45% ","7.81% ","2.24% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","38.8% ","suppressed","suppressed","suppressed","48.0% ","25.7% ","suppressed","38.3% ","6.92% ","suppressed","suppressed","suppressed","9.60% ","7.00% ","suppressed","7.18% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","40.3% ","suppressed","suppressed","55.0% ","37.2% ","34.1% ","51.8% ","36.9% ","4.23% ","suppressed","suppressed","5.44% ","8.65% ","6.50% ","6.54% ","4.85% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","27.0% ","suppressed","suppressed","65.2% ","30.2% ","25.9% ","suppressed","27.0% ","1.95% ","suppressed","suppressed","5.13% ","3.01% ","2.30% ","suppressed","1.96% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","23.4% ","18.4% ","15.0%*","15.3% ","20.4% ","27.7% ","19.4% ","23.9% ","1.26% ","4.81% ","5.28%*","2.99% ","2.14% ","1.77% ","3.21% ","1.36% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","2.3%*","suppressed","0% ","0.7%*","5.4%*","0.2%*","9.1%*","1.7%*","1.11%*","suppressed","0% ","0.52%*","3.87%*","0.21%*","5.25%*","1.09%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","64.7% ","suppressed","suppressed","6.6%*","59.5% ","78.0% ","6.0%*","70.7% ","4.60% ","suppressed","suppressed","4.47%*","9.16% ","5.90% ","4.29%*","4.84% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","21.4% ","17.6% ","14.9%*","17.9% ","21.8% ","26.7% ","19.6% ","22.0% ","1.95% ","4.88% ","5.71%*","3.19% ","3.78% ","3.79% ","3.40% ","2.36% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","24.7% ","suppressed","suppressed","suppressed","19.6% ","28.0% ","suppressed","24.8% ","1.63% ","suppressed","suppressed","suppressed","2.52% ","1.97% ","suppressed","1.64% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","16,654 ","suppressed","18,915 ","13,920 ","16,292 ","17,399 ","18,357 ","16,510 ","546.46 ","suppressed","2479.02 ","1740.58 ","1206.80 ","355.38 ","1346.70 ","573.44 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","16,782 ","suppressed","18,915 ","16,431 ","17,361 ","15,969 ","18,333 ","16,264 ","614.09 ","suppressed","2479.02 ","1781.49 ","1082.71 ","473.31 ","1389.95 ","641.70 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","16,599 ","suppressed","suppressed","11,181 ","15,839 ","17,738 ","suppressed","16,590 ","734.48 ","suppressed","suppressed","820.99 ","1605.43 ","398.44 ","suppressed","736.34 "
