"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,620 ","suppressed","suppressed","suppressed","4,588*","6,777 ","9,786 ","6,385 ","603.47 ","suppressed","suppressed","suppressed","1527.56*","608.41 ","579.99 ","634.43 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","25.7% ","suppressed","27.7% ","34.3% ","27.8% ","23.4% ","31.2% ","25.0% ","1.62% ","suppressed","4.95% ","4.07% ","3.13% ","2.06% ","3.56% ","1.74% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","27.4% ","suppressed","suppressed","suppressed","21.8% ","33.9% ","suppressed","27.6% ","3.86% ","suppressed","suppressed","suppressed","3.83% ","4.47% ","suppressed","4.40% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.0% ","suppressed","30.0% ","40.0% ","27.5% ","23.2% ","32.8% ","24.3% ","1.78% ","suppressed","1.17% ","5.45% ","4.08% ","2.05% ","3.43% ","1.92% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.9% ","suppressed","suppressed","suppressed","36.3% ","suppressed","suppressed","28.7% ","4.57% ","suppressed","suppressed","suppressed","4.67% ","suppressed","suppressed","5.01% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","33.0% ","suppressed","suppressed","36.4% ","32.0% ","38.4% ","29.9% ","33.9% ","2.42% ","suppressed","suppressed","4.89% ","2.90% ","5.89% ","6.42% ","2.39% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","23.0% ","suppressed","suppressed","27.6% ","21.3% ","22.4% ","32.7% ","22.3% ","1.79% ","suppressed","suppressed","2.11% ","3.51% ","2.13% ","2.39% ","1.88% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","28.4% ","suppressed","24.5%*","20.1% ","38.5% ","27.5% ","22.1% ","29.7% ","2.11% ","suppressed","7.51%*","3.39% ","4.11% ","2.74% ","5.08% ","2.30% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","5.8%*","suppressed","suppressed","suppressed","15.8%*","0.1%*","10.%*","5.2%*","3.73%*","suppressed","suppressed","suppressed","12.28%*","0.13%*","8.09%*","4.11%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","70.0% ","suppressed","suppressed","16.4%*","45.0%*","93.1% ","36.6%*","75.1% ","6.93% ","suppressed","suppressed","11.03%*","14.34%*","3.04% ","17.44%*","7.27% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","22.6% ","suppressed","16.6% ","18.1% ","38.1% ","13.5%*","17.5% ","25.4% ","3.70% ","suppressed","4.78% ","3.20% ","6.46% ","4.49%*","4.08% ","5.26% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","31.9% ","suppressed","suppressed","suppressed","38.9% ","29.8% ","suppressed","31.4% ","2.30% ","suppressed","suppressed","suppressed","3.64% ","2.59% ","suppressed","2.30% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","19,825 ","suppressed","20,095 ","14,493 ","20,438 ","20,837 ","16,114 ","20,372 ","720.22 ","suppressed","1032.95 ","1309.23 ","761.13 ","850.42 ","1618.90 ","762.35 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","16,409 ","suppressed","18,687 ","14,285 ","20,063 ","17,577 ","14,211 ","17,361 ","1326.16 ","suppressed","794.42 ","1272.10 ","832.38 ","3475.93 ","1806.55 ","1727.12 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","21,089 ","suppressed","suppressed","suppressed","20,767 ","21,240 ","suppressed","21,202 ","754.49 ","suppressed","suppressed","suppressed","1208.53 ","838.53 ","suppressed","778.21 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,706 ","suppressed","suppressed","5,258*","4,676 ","4,742 ","3,981 ","4,813 ","431.58 ","suppressed","suppressed","1697.06*","375.50 ","540.19 ","1030.47 ","474.08 "
