"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","13.6% ","2.0%*","0.5%*","14.0%*","3.7%*","21.6% ","7.6%*","15.4% ","2.25% ","1.49%*","0.48%*","5.20%*","1.74%*","3.07% ","3.79%*","2.67% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","9.2% ","suppressed","3.2%*","suppressed","suppressed","9.6% ","suppressed","10.3% ","1.44% ","suppressed","1.95%*","suppressed","suppressed","0.33% ","suppressed","1.48% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","8.0% ","3.7%*","2.0%*","8.8%*","4.7%*","15.8% ","4.5%*","10.1% ","1.58% ","1.98%*","1.14%*","3.28%*","1.75%*","4.14% ","1.94%*","2.17% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","15.4% ","0% ","0.9%*","suppressed","3.9%*","18.6% ","suppressed","16.6% ","2.25% ","0% ","0.88%*","suppressed","2.31%*","2.77% ","suppressed","2.38% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","68.0% ","73.4% ","80.9% ","77.1% ","74.9% ","58.1% ","77.4% ","64.8% ","2.12% ","6.35% ","7.11% ","4.47% ","4.70% ","2.69% ","3.84% ","2.46% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","44.4% ","74.3% ","88.9% ","50.3% ","64.3% ","9.9%*","77.4% ","31.0% ","5.00% ","10.86% ","5.54% ","11.51% ","10.56% ","3.86%*","5.96% ","6.22% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","29.9% ","12.5%*","19.7%*","10.5%*","14.7%*","55.5% ","15.5%*","35.7% ","5.04% ","6.26%*","9.57%*","4.55%*","5.70%*","8.91% ","4.71%*","6.58% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","70.8% ","74.6% ","78.2% ","78.1% ","74.0% ","58.6% ","77.1% ","67.8% ","2.90% ","7.01% ","8.40% ","4.90% ","5.47% ","5.16% ","4.42% ","3.66% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","62.3% ","suppressed","94.1% ","69.6% ","81.3% ","57.7% ","79.3% ","60.0% ","2.73% ","suppressed","3.18% ","6.42% ","5.58% ","2.73% ","5.83% ","2.69% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","23,603 ","21,638 ","31,468 ","25,318 ","24,461 ","22,879 ","25,498 ","23,278 ","1119.50 ","1760.20 ","1174.79 ","2374.04 ","2524.51 ","1480.65 ","1495.01 ","1263.85 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","21,600 ","suppressed","27,409 ","18,092 ","23,117 ","19,784 ","21,500 ","21,668 ","1080.48 ","suppressed","962.00 ","1352.37 ","1505.87 ","927.13 ","2108.99 ","1119.38 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","22,569 ","24,262 ","suppressed","24,093 ","24,952 ","21,659 ","26,701 ","22,229 ","1348.51 ","1427.53 ","suppressed","2191.71 ","3946.19 ","1361.32 ","1492.91 ","1403.48 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","28,487 ","suppressed","33,572 ","suppressed","suppressed","27,762 ","31,844 ","27,848 ","841.70 ","suppressed","1112.21 ","suppressed","suppressed","825.57 ","1400.21 ","1037.98 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,824 ","20,868 ","31,932 ","25,494 ","26,457 ","21,675 ","25,459 ","23,401 ","1192.41 ","1980.20 ","1268.59 ","2982.00 ","2075.29 ","1325.43 ","1784.38 ","1389.17 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","23,280 ","suppressed","suppressed","24,639 ","suppressed","23,845 ","25,693 ","23,126 ","1871.45 ","suppressed","suppressed","860.83 ","suppressed","2163.41 ","835.32 ","1970.11 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","5,531 ","suppressed","suppressed","7,710 ","5,628 ","5,180 ","6,819 ","5,310 ","493.14 ","suppressed","suppressed","1928.66 ","1361.10 ","561.09 ","1517.03 ","510.82 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,902 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","5,174 ","1066.59 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1393.31 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,797 ","suppressed","suppressed","suppressed","5,255*","5,151 ","12,282 ","5,263 ","705.75 ","suppressed","suppressed","suppressed","1711.42*","734.79 ","2322.67 ","658.20 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,200 ","suppressed","suppressed","suppressed","suppressed","5,431 ","suppressed","5,550 ","638.56 ","suppressed","suppressed","suppressed","suppressed","308.66 ","suppressed","546.11 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","4,791 ","suppressed","suppressed","suppressed","5,901 ","3,639 ","5,886 ","4,508 ","668.70 ","suppressed","suppressed","suppressed","1522.37 ","652.68 ","1518.21 ","726.26 "
