"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,573 ","suppressed","suppressed","suppressed","1,660 ","1,661 ","suppressed","1,589 ","194.84 ","suppressed","suppressed","suppressed","330.17 ","267.67 ","suppressed","204.74 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","23.7% ","suppressed","49.9% ","14.3% ","23.0% ","22.8% ","29.0% ","22.7% ","2.07% ","suppressed","5.64% ","3.62% ","3.07% ","2.88% ","6.59% ","2.05% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","25.4% ","suppressed","suppressed","suppressed","29.1% ","18.6% ","suppressed","19.9% ","4.74% ","suppressed","suppressed","suppressed","4.18% ","3.66% ","suppressed","2.98% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","24.3% ","suppressed","48.3% ","17.8% ","22.4% ","24.6% ","27.6% ","23.8% ","2.44% ","suppressed","0.95% ","4.82% ","3.85% ","3.82% ","6.18% ","2.65% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","14.3% ","suppressed","44.7% ","suppressed","suppressed","suppressed","suppressed","20.0% ","4.07% ","suppressed","3.92% ","suppressed","suppressed","suppressed","suppressed","4.68% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","27.0% ","suppressed","50.1% ","15.8%*","27.8% ","23.4% ","30.2% ","25.6% ","3.23% ","suppressed","6.10% ","4.93%*","5.01% ","3.98% ","7.49% ","3.05% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.1% ","suppressed","suppressed","suppressed","19.6% ","22.6% ","suppressed","21.1% ","2.61% ","suppressed","suppressed","suppressed","3.43% ","3.80% ","suppressed","2.71% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","58.1% ","45.8% ","61.4% ","61.5% ","59.5% ","56.8% ","56.5% ","58.4% ","1.76% ","8.38% ","8.13% ","6.58% ","2.49% ","2.47% ","5.72% ","1.82% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","11.6% ","suppressed","suppressed","36.3%*","15.1%*","2.2%*","26.7%*","9.0%*","2.86% ","suppressed","suppressed","11.67%*","6.03%*","1.21%*","9.13%*","2.91%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","57.5% ","0% ","suppressed","43.4%*","51.8% ","71.3% ","21.4%*","63.7% ","5.58% ","0% ","suppressed","13.65%*","9.94% ","8.06% ","7.88%*","6.12% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","56.5% ","45.8% ","62.1% ","58.4% ","62.9% ","51.0% ","56.0% ","56.7% ","3.13% ","8.38% ","9.50% ","9.71% ","2.87% ","4.55% ","6.98% ","3.43% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","59.3% ","suppressed","suppressed","66.1% ","56.7% ","59.5% ","58.6% ","59.4% ","1.76% ","suppressed","suppressed","6.50% ","3.36% ","2.04% ","6.55% ","1.82% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","23,143 ","suppressed","23,505 ","21,007 ","22,143 ","23,801 ","22,869 ","23,190 ","1213.88 ","suppressed","2694.67 ","1238.67 ","2248.00 ","1879.24 ","2132.86 ","1375.92 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","22,380 ","suppressed","suppressed","suppressed","19,103 ","24,934 ","suppressed","22,206 ","1699.24 ","suppressed","suppressed","suppressed","3363.20 ","1396.46 ","suppressed","1745.84 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","23,488 ","suppressed","suppressed","21,997 ","23,407 ","23,594 ","23,352 ","23,509 ","1571.45 ","suppressed","suppressed","1199.43 ","2804.51 ","2289.94 ","2808.79 ","1765.67 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","21,604 ","suppressed","suppressed","23,865 ","20,632 ","23,597 ","suppressed","22,213 ","1366.55 ","suppressed","suppressed","1239.16 ","2184.30 ","2303.49 ","suppressed","1355.17 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,930 ","suppressed","suppressed","23,365 ","19,693 ","25,930 ","23,821 ","23,968 ","1193.62 ","suppressed","suppressed","1108.63 ","3591.72 ","862.70 ","2438.78 ","1366.79 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","22,380 ","suppressed","suppressed","16,882 ","23,802 ","22,266 ","suppressed","22,605 ","2007.20 ","suppressed","suppressed","1576.27 ","2249.56 ","2928.82 ","suppressed","2104.20 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","8,493 ","suppressed","suppressed","12,350 ","7,088 ","8,842 ","7,732 ","8,624 ","759.87 ","suppressed","suppressed","2104.10 ","488.87 ","1229.81 ","1759.32 ","840.69 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,691 ","suppressed","suppressed","suppressed","7,722 ","7,247 ","suppressed","7,897 ","832.38 ","suppressed","suppressed","suppressed","699.60 ","1010.57 ","suppressed","682.05 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,322 ","suppressed","suppressed","10,677 ","6,725 ","9,327 ","5,729*","8,732 ","948.02 ","suppressed","suppressed","2034.01 ","685.93 ","1527.02 ","1766.02*","1073.82 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","9,636 ","suppressed","suppressed","suppressed","8,185 ","suppressed","suppressed","suppressed","2217.90 ","suppressed","suppressed","suppressed","594.38 ","suppressed","suppressed","suppressed"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,067 ","suppressed","suppressed","suppressed","7,424 ","7,581 ","7,758 ","8,174 ","780.31 ","suppressed","suppressed","suppressed","1183.81 ","655.96 ","2013.80 ","801.33 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,905 ","suppressed","suppressed","suppressed","6,861 ","9,752 ","suppressed","8,962 ","1291.39 ","suppressed","suppressed","suppressed","465.31 ","2014.25 ","suppressed","1343.93 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","36.7% ","suppressed","suppressed","58.8% ","32.0% ","37.2% ","33.8% ","37.2% ","3.04% ","suppressed","suppressed","8.92% ","3.53% ","4.44% ","7.49% ","3.33% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","38.8% ","suppressed","suppressed","72.6% ","40.4% ","29.1% ","71.1% ","35.6% ","4.33% ","suppressed","suppressed","1.03% ","7.59% ","4.50% ","0.91% ","4.22% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","35.4% ","suppressed","suppressed","48.5% ","28.7% ","39.5% ","24.5%*","37.1% ","3.61% ","suppressed","suppressed","7.95% ","3.73% ","5.46% ","7.89%*","4.00% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","44.6% ","suppressed","suppressed","suppressed","39.7% ","19.6% ","suppressed","suppressed","9.50% ","suppressed","suppressed","suppressed","5.29% ","1.96% ","suppressed","suppressed"
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","33.7% ","suppressed","suppressed","60.6% ","37.7% ","29.2% ","32.6% ","34.1% ","3.45% ","suppressed","suppressed","11.37% ","6.86% ","2.76% ","8.20% ","3.75% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","39.8% ","suppressed","suppressed","suppressed","28.8% ","43.8% ","suppressed","39.6% ","4.75% ","suppressed","suppressed","suppressed","3.75% ","6.47% ","suppressed","4.88% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","23.7% ","49.9% ","25.2% ","16.0% ","21.2% ","25.4% ","23.1% ","23.8% ","1.56% ","8.44% ","5.00% ","3.49% ","2.04% ","2.42% ","3.14% ","1.75% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","6.3%*","suppressed","suppressed","0.8%*","suppressed","0% ","36.5% ","1.0%*","2.24%*","suppressed","suppressed","0.82%*","suppressed","0% ","10.53% ","1.05%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","50.8% ","0% ","suppressed","36.4%*","59.6% ","58.1% ","14.3%*","57.1% ","7.00% ","0% ","suppressed","13.87%*","10.44% ","11.69% ","5.78%*","8.32% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","26.7% ","49.9% ","27.2% ","17.0% ","18.8% ","33.3% ","24.9% ","27.3% ","2.57% ","8.44% ","5.36% ","4.42% ","2.68% ","3.80% ","3.82% ","3.15% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","21.4% ","suppressed","suppressed","suppressed","23.3% ","21.7% ","suppressed","21.7% ","1.67% ","suppressed","suppressed","suppressed","2.99% ","2.14% ","suppressed","1.75% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","14,664 ","suppressed","suppressed","11,886 ","15,173 ","15,341 ","11,974 ","15,210 ","816.85 ","suppressed","suppressed","1931.88 ","1647.41 ","970.26 ","1912.61 ","831.14 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","14,205 ","suppressed","suppressed","suppressed","13,066 ","17,590 ","suppressed","15,479 ","1497.31 ","suppressed","suppressed","suppressed","2656.23 ","1060.54 ","suppressed","1594.99 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","14,976 ","suppressed","suppressed","13,530 ","16,797 ","14,453 ","suppressed","15,074 ","849.87 ","suppressed","suppressed","1106.59 ","1089.33 ","1118.74 ","suppressed","911.49 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,366 ","suppressed","suppressed","4,928 ","4,731 ","4,134 ","3,563 ","4,529 ","335.03 ","suppressed","suppressed","1466.20 ","491.78 ","387.92 ","1027.33 ","333.19 "
