"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.7% ","suppressed","suppressed","suppressed","17.0% ","18.0% ","suppressed","17.6% ","0.87% ","suppressed","suppressed","suppressed","2.12% ","0.94% ","suppressed","0.86% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","61.7% ","69.0% ","65.2% ","75.2% ","68.3% ","53.3% ","71.5% ","59.7% ","1.43% ","9.88% ","4.98% ","3.21% ","3.34% ","1.67% ","3.54% ","1.61% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","10.6% ","suppressed","48.1% ","24.8%*","3.2%*","0.7%*","43.1% ","2.7%*","2.05% ","suppressed","12.87% ","8.53%*","2.06%*","0.56%*","8.09% ","1.16%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","47.2% ","suppressed","15.2%*","19.8%*","21.6%*","85.2% ","14.1%*","55.3% ","4.20% ","suppressed","7.49%*","7.85%*","7.45%*","5.25% ","5.76%*","5.10% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","68.8% ","70.0% ","69.3% ","73.3% ","71.7% ","52.9% ","73.2% ","66.9% ","2.22% ","10.32% ","5.21% ","3.41% ","3.58% ","4.09% ","3.63% ","2.77% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","55.3% ","suppressed","suppressed","83.6% ","58.2% ","53.4% ","suppressed","54.9% ","1.65% ","suppressed","suppressed","6.24% ","5.28% ","1.75% ","suppressed","1.65% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","26,106 ","suppressed","22,487 ","24,904 ","26,120 ","26,889 ","22,577 ","26,617 ","1000.49 ","suppressed","1392.11 ","1512.10 ","1985.24 ","1388.73 ","1417.51 ","1119.85 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","24,418 ","suppressed","suppressed","suppressed","26,940 ","25,412 ","19,876 ","25,888 ","2329.02 ","suppressed","suppressed","suppressed","2564.53 ","3565.20 ","2853.60 ","2763.58 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","26,554 ","suppressed","22,805 ","23,752 ","26,623 ","27,115 ","23,757 ","26,852 ","1120.45 ","suppressed","1829.62 ","1475.48 ","2425.86 ","1493.76 ","1480.12 ","1230.60 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","25,470 ","suppressed","28,387 ","suppressed","suppressed","29,062 ","27,494 ","25,105 ","2890.60 ","suppressed","1091.74 ","suppressed","suppressed","2094.32 ","1276.44 ","3394.04 "
