"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","24,963 ","24,445 ","23,960 ","24,710 ","26,079 ","24,678 ","24,347 ","25,206 ","242.09 ","996.98 ","723.42 ","448.85 ","439.75 ","426.89 ","454.57 ","288.17 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","27,124 ","19,475 ","25,258 ","24,193 ","27,193 ","27,364 ","23,321 ","27,266 ","230.23 ","1686.64 ","1452.66 ","850.59 ","556.44 ","262.67 ","895.87 ","234.91 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,314 ","6,113 ","7,721 ","9,242 ","7,310 ","7,050 ","7,760 ","7,246 ","127.23 ","814.69 ","491.81 ","404.28 ","280.94 ","161.30 ","366.95 ","135.51 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,008 ","4,047 ","7,721 ","9,841 ","8,096 ","5,999 ","7,285 ","6,947 ","235.24 ","975.71 ","896.92 ","1011.55 ","528.88 ","234.51 ","767.14 ","232.37 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,355 ","7,358 ","8,141 ","9,213 ","6,973 ","7,184 ","8,194 ","7,248 ","154.99 ","1220.80 ","700.91 ","446.72 ","352.67 ","188.84 ","488.32 ","162.81 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,581 ","4,814 ","6,356 ","8,308 ","7,724 ","7,802 ","6,797 ","7,747 ","435.56 ","1339.71 ","949.02 ","1161.53 ","541.85 ","757.68 ","697.63 ","505.66 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,086 ","6,067 ","7,786 ","9,658 ","8,267 ","7,690 ","7,928 ","8,149 ","224.72 ","918.84 ","534.36 ","465.01 ","356.77 ","430.86 ","414.19 ","268.76 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,821 ","6,408 ","7,311 ","7,840 ","6,513 ","6,854 ","6,919 ","6,817 ","151.26 ","1366.40 ","1295.33 ","762.54 ","381.79 ","167.41 ","734.54 ","154.50 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","27.8% ","25.7% ","32.0% ","37.6% ","27.4% ","26.4% ","32.1% ","27.2% ","0.48% ","3.13% ","1.92% ","1.55% ","1.13% ","0.57% ","1.43% ","0.50% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","27.0% ","17.4% ","34.7% ","40.5% ","32.1% ","21.9% ","31.6% ","26.2% ","0.98% ","4.02% ","3.48% ","3.68% ","2.16% ","1.08% ","3.11% ","0.99% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","27.8% ","30.4% ","32.4% ","36.8% ","25.6% ","27.1% ","32.9% ","27.2% ","0.56% ","4.65% ","2.73% ","1.77% ","1.39% ","0.63% ","1.89% ","0.58% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","29.1% ","20.8% ","26.9% ","36.4% ","29.4% ","28.5% ","29.2% ","29.0% ","1.58% ","5.61% ","3.65% ","4.44% ","2.25% ","2.60% ","2.79% ","1.80% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","32.4% ","24.8% ","32.5% ","39.1% ","31.7% ","31.2% ","32.6% ","32.3% ","0.84% ","3.42% ","2.07% ","1.78% ","1.40% ","1.58% ","1.59% ","0.99% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","25.1% ","32.9% ","28.9% ","32.4% ","24.0% ","25.0% ","29.7% ","25.0% ","0.55% ","7.11% ","5.37% ","2.89% ","1.51% ","0.58% ","3.17% ","0.56% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","23.8% ","23.8% ","20.4% ","19.9% ","23.1% ","25.2% ","21.6% ","24.2% ","0.32% ","1.65% ","1.02% ","0.75% ","0.71% ","0.44% ","0.70% ","0.35% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","7.7% ","47.0% ","23.5% ","17.2% ","7.3% ","2.5%*","28.6% ","4.6% ","0.66% ","3.95% ","3.22% ","2.44% ","1.33% ","0.79%*","2.04% ","0.67% "
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","61.0% ","13.6% ","13.7% ","22.9% ","54.6% ","76.5% ","16.6% ","67.8% ","1.24% ","2.53% ","2.26% ","2.23% ","2.63% ","1.81% ","1.63% ","1.39% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","21.9% ","23.3% ","20.6% ","19.3% ","21.4% ","24.3% ","21.2% ","22.2% ","0.50% ","1.78% ","1.13% ","0.79% ","0.84% ","1.13% ","0.76% ","0.64% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","25.2% ","27.6% ","19.5% ","22.4% ","24.8% ","25.5% ","23.8% ","25.2% ","0.41% ","3.99% ","2.31% ","2.04% ","1.09% ","0.45% ","1.86% ","0.42% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","17,901 ","17,506 ","17,838 ","17,044 ","18,098 ","17,998 ","17,678 ","17,932 ","125.52 ","930.72 ","682.77 ","444.72 ","277.53 ","148.17 ","395.85 ","132.17 "
