"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","25.5%*","suppressed","suppressed","suppressed","10.7% ","44.3%*","suppressed","26.1%*","8.46%*","suppressed","suppressed","suppressed","2.33% ","15.74%*","suppressed","9.34%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","32.2% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","30.2% ","6.38% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","6.91% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","8.2%*","suppressed","26.0% ","suppressed","4.3%*","11.7%*","suppressed","7.9%*","3.82%*","suppressed","2.47% ","suppressed","2.02%*","7.60%*","suppressed","4.17%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","7,612 ","8,408 ","7,793 ","6,705 ","7,187 ","7,891 ","7,477 ","7,637 ","169.05 ","1282.72 ","577.98 ","583.44 ","545.40 ","138.75 ","604.49 ","165.34 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","7,105 ","6,806 ","suppressed","suppressed","6,780 ","7,459 ","suppressed","7,306 ","303.87 ","560.31 ","suppressed","suppressed","406.80 ","266.42 ","suppressed","260.57 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","7,697 ","suppressed","7,604 ","6,878 ","6,835 ","8,032 ","7,788 ","7,682 ","202.35 ","suppressed","653.96 ","652.78 ","638.44 ","165.98 ","778.35 ","196.60 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","7,986 ","suppressed","suppressed","suppressed","suppressed","7,021 ","suppressed","8,032 ","885.54 ","suppressed","suppressed","suppressed","suppressed","731.56 ","suppressed","1105.35 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","7,099 ","7,271 ","7,829 ","6,949 ","6,805 ","7,206 ","7,407 ","6,949 ","311.82 ","568.95 ","638.72 ","629.46 ","600.65 ","583.00 ","586.81 ","377.62 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","7,969 ","suppressed","suppressed","4,351 ","7,911 ","8,010 ","suppressed","7,971 ","168.99 ","suppressed","suppressed","363.21 ","1002.48 ","131.32 ","suppressed","150.88 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,716 ","suppressed","suppressed","1,883 ","1,451 ","1,759 ","1,566 ","1,743 ","118.74 ","suppressed","suppressed","388.63 ","170.46 ","153.69 ","372.97 ","122.42 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","741 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","643 ","180.90 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","161.66 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,923 ","suppressed","suppressed","1,901 ","1,472 ","2,080 ","1,550 ","1,988 ","125.43 ","suppressed","suppressed","403.34 ","185.32 ","154.06 ","456.26 ","123.19 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,868 ","suppressed","suppressed","suppressed","suppressed","1,952 ","suppressed","1,703 ","287.03 ","suppressed","suppressed","suppressed","suppressed","356.35 ","suppressed","282.62 "
