"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,849 ","suppressed","suppressed","suppressed","1,731 ","suppressed","2,519 ","1,571*","387.37 ","suppressed","suppressed","suppressed","339.89 ","suppressed","314.82 ","488.25*"
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,982 ","suppressed","suppressed","2,193 ","1,707 ","1,865 ","2,892 ","1,805 ","132.35 ","suppressed","suppressed","387.09 ","156.37 ","125.29 ","588.07 ","102.45 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,808 ","suppressed","suppressed","suppressed","1,725 ","1,775 ","suppressed","1,759 ","200.68 ","suppressed","suppressed","suppressed","148.49 ","309.22 ","suppressed","214.44 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,979 ","suppressed","suppressed","2,481 ","1,729 ","1,496 ","2,623 ","1,697 ","238.33 ","suppressed","suppressed","395.60 ","144.77 ","371.76 ","539.13 ","227.34 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,908 ","suppressed","suppressed","2,476 ","1,700 ","1,840 ","2,745 ","1,813 ","107.13 ","suppressed","suppressed","353.79 ","192.37 ","120.68 ","362.38 ","105.00 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","22.6% ","suppressed","31.8% ","28.3% ","20.5% ","20.3% ","31.9% ","20.5% ","1.31% ","suppressed","5.60% ","3.76% ","1.70% ","1.73% ","3.51% ","1.30% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","25.2% ","suppressed","27.5% ","42.1% ","18.9% ","suppressed","35.6% ","21.1% ","3.75% ","suppressed","1.92% ","4.44% ","4.29% ","suppressed","4.11% ","4.81% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.7% ","suppressed","35.2% ","24.7% ","21.6% ","20.8% ","33.6% ","20.6% ","1.55% ","suppressed","6.45% ","4.35% ","2.35% ","1.86% ","4.73% ","1.42% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.1% ","suppressed","suppressed","suppressed","18.1% ","20.3% ","suppressed","19.5% ","2.03% ","suppressed","suppressed","suppressed","2.16% ","2.86% ","suppressed","2.04% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","23.2% ","suppressed","suppressed","28.3% ","22.2% ","17.5% ","31.0% ","19.8% ","2.53% ","suppressed","suppressed","4.44% ","2.29% ","4.45% ","4.68% ","2.61% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","22.1% ","suppressed","suppressed","28.3% ","19.1% ","21.3% ","34.2% ","20.8% ","1.37% ","suppressed","suppressed","3.16% ","2.16% ","1.63% ","4.03% ","1.37% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","61.9% ","67.3% ","76.0% ","61.0% ","62.3% ","60.0% ","72.2% ","59.9% ","1.81% ","12.21% ","5.64% ","5.82% ","3.47% ","2.40% ","3.56% ","2.02% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","11.6% ","suppressed","35.5%*","9.9%*","2.9%*","10.5%*","21.4%*","9.3%*","3.17% ","suppressed","12.80%*","5.03%*","2.16%*","5.13%*","6.65%*","3.57%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","56.9% ","suppressed","28.6%*","16.2%*","52.0% ","75.3% ","30.7% ","63.0% ","5.17% ","suppressed","13.88%*","7.83%*","14.50% ","6.54% ","8.88% ","5.95% "
