"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","11,920 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","10,931 ","1813.22 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1561.95 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,593 ","suppressed","suppressed","11,135 ","6,160*","6,851 ","5,586*","6,912 ","673.28 ","suppressed","suppressed","2705.39 ","1903.33*","634.61 ","1749.48*","685.52 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","9,249 ","suppressed","suppressed","suppressed","9,052 ","9,275 ","suppressed","9,285 ","1783.86 ","suppressed","suppressed","suppressed","1003.35 ","2163.61 ","suppressed","1821.55 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","29.8% ","suppressed","suppressed","38.6% ","32.0% ","29.4% ","26.1% ","30.1% ","2.98% ","suppressed","suppressed","9.87% ","3.57% ","3.93% ","6.63% ","3.12% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","24.7% ","suppressed","suppressed","suppressed","suppressed","18.9% ","suppressed","21.5% ","3.54% ","suppressed","suppressed","suppressed","suppressed","3.44% ","suppressed","3.18% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","29.8% ","suppressed","suppressed","suppressed","30.3% ","30.8% ","14.7%*","31.0% ","3.49% ","suppressed","suppressed","suppressed","4.11% ","4.06% ","5.05%*","3.37% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","46.6% ","suppressed","suppressed","suppressed","35.3% ","suppressed","75.2% ","40.2% ","7.42% ","suppressed","suppressed","suppressed","2.87% ","suppressed","7.52% ","7.66% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","27.5% ","suppressed","suppressed","41.6% ","32.0% ","26.1% ","25.4% ","28.1% ","2.70% ","suppressed","suppressed","10.75% ","7.90% ","2.91% ","7.25% ","2.84% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","30.9% ","suppressed","suppressed","suppressed","32.0% ","30.6% ","suppressed","31.0% ","3.83% ","suppressed","suppressed","suppressed","3.60% ","4.70% ","suppressed","3.90% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.0% ","23.9%*","13.4%*","8.5% ","20.2% ","30.7% ","14.6% ","26.0% ","4.02% ","9.56%*","4.63%*","1.81% ","4.33% ","6.51% ","3.26% ","4.76% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","5.2%*","suppressed","suppressed","23.9%*","0% ","0% ","44.7%*","0.2%*","2.53%*","suppressed","suppressed","11.59%*","0% ","0% ","13.86%*","0.20%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","61.4% ","suppressed","suppressed","23.4%*","59.5% ","70.5% ","16.2%*","67.0% ","10.91% ","suppressed","suppressed","12.56%*","15.75% ","13.65% ","7.81%*","11.61% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","19.9% ","suppressed","suppressed","7.7% ","24.8%*","28.3% ","14.6% ","22.5% ","2.63% ","suppressed","suppressed","1.82% ","10.54%*","2.32% ","3.75% ","3.06% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","27.5% ","suppressed","suppressed","suppressed","17.9% ","31.8% ","suppressed","28.3% ","7.06% ","suppressed","suppressed","suppressed","3.70% ","9.42% ","suppressed","7.42% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","18,067 ","suppressed","suppressed","17,514 ","17,095 ","18,638 ","17,787 ","18,121 ","597.65 ","suppressed","suppressed","1747.45 ","782.65 ","679.12 ","1760.79 ","619.34 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","18,147 ","suppressed","suppressed","18,297 ","13,946 ","19,545 ","17,377 ","18,444 ","1108.10 ","suppressed","suppressed","2165.79 ","1123.15 ","992.36 ","1984.31 ","1217.38 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","17,994 ","suppressed","suppressed","suppressed","17,854 ","17,981 ","suppressed","17,895 ","485.61 ","suppressed","suppressed","suppressed","850.09 ","573.37 ","suppressed","479.84 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,304 ","suppressed","suppressed","7,247 ","4,742 ","3,783 ","5,301 ","4,113 ","374.60 ","suppressed","suppressed","1901.66 ","401.96 ","385.31 ","1415.93 ","336.25 "
