"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,688 ","suppressed","suppressed","9,401 ","10,257 ","suppressed","suppressed","8,624 ","1118.74 ","suppressed","suppressed","896.34 ","1091.73 ","suppressed","suppressed","1096.29 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,032 ","suppressed","suppressed","suppressed","7,537 ","7,508 ","suppressed","7,578 ","711.56 ","suppressed","suppressed","suppressed","803.83 ","678.01 ","suppressed","504.88 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,856 ","0 ","suppressed","suppressed","suppressed","6,410 ","suppressed","8,714 ","1453.30 ","0 ","suppressed","suppressed","suppressed","748.15 ","suppressed","1815.14 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,960 ","suppressed","suppressed","10,894 ","10,362 ","9,778 ","7,468 ","10,055 ","920.85 ","suppressed","suppressed","1342.89 ","1127.50 ","1559.34 ","1791.74 ","854.12 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,585 ","suppressed","suppressed","suppressed","7,876 ","6,848 ","suppressed","7,159 ","673.88 ","suppressed","suppressed","suppressed","953.89 ","685.80 ","suppressed","530.81 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","26.4% ","suppressed","suppressed","27.8%*","26.0% ","26.1% ","24.4%*","26.9% ","2.28% ","suppressed","suppressed","8.77%*","3.22% ","3.13% ","7.42%*","2.21% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.8% ","suppressed","suppressed","36.3% ","31.7% ","suppressed","suppressed","25.7% ","4.36% ","suppressed","suppressed","5.18% ","4.99% ","suppressed","suppressed","4.33% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.5% ","suppressed","suppressed","suppressed","22.1% ","28.7% ","suppressed","26.7% ","2.48% ","suppressed","suppressed","suppressed","2.51% ","2.71% ","suppressed","1.99% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.3% ","0% ","suppressed","suppressed","suppressed","24.8% ","suppressed","31.2% ","5.03% ","0% ","suppressed","suppressed","suppressed","2.80% ","suppressed","6.19% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","34.4% ","suppressed","suppressed","41.6% ","32.3% ","39.0% ","32.1% ","35.9% ","2.99% ","suppressed","suppressed","5.23% ","3.66% ","2.02% ","7.09% ","2.05% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","22.4% ","suppressed","suppressed","suppressed","22.8% ","23.8% ","suppressed","23.8% ","2.49% ","suppressed","suppressed","suppressed","3.11% ","3.30% ","suppressed","2.37% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","20.3% ","suppressed","19.9% ","19.6% ","21.2% ","20.3% ","23.1% ","19.7% ","1.66% ","suppressed","5.02% ","5.36% ","2.04% ","2.27% ","5.90% ","1.48% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","10.1%*","suppressed","suppressed","30.8%*","0% ","0% ","45.6%*","0% ","4.70%*","suppressed","suppressed","21.15%*","0% ","0% ","14.20%*","0% "
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","64.2% ","0% ","suppressed","53.3%*","64.6% ","82.6% ","31.5%*","73.5% ","5.57% ","0% ","suppressed","16.33%*","11.81% ","6.52% ","15.71%*","5.84% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","16.5% ","suppressed","17.8% ","14.1% ","18.8% ","14.3% ","18.4% ","15.4% ","2.07% ","suppressed","5.26% ","3.32% ","3.57% ","2.27% ","4.55% ","1.93% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","23.4% ","suppressed","41.8% ","suppressed","22.9% ","22.2% ","suppressed","21.9% ","2.36% ","suppressed","4.06% ","suppressed","2.46% ","2.82% ","suppressed","1.97% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","19,972 ","suppressed","13,133 ","19,170 ","22,694 ","19,278 ","17,855 ","20,224 ","794.51 ","suppressed","1871.59 ","1368.87 ","1110.57 ","1298.14 ","1785.42 ","850.66 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","18,864 ","suppressed","13,133 ","20,369 ","20,795 ","18,079 ","17,769 ","19,270 ","956.53 ","suppressed","1871.59 ","1179.85 ","1152.31 ","2093.70 ","1875.31 ","1119.43 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","20,634 ","suppressed","suppressed","suppressed","23,576 ","19,664 ","suppressed","20,643 ","1088.53 ","suppressed","suppressed","suppressed","1453.93 ","1528.90 ","suppressed","1097.19 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","5,201 ","suppressed","suppressed","7,718 ","4,966 ","4,786 ","6,280 ","5,072 ","334.67 ","suppressed","suppressed","1107.90 ","547.85 ","470.88 ","1373.62 ","338.83 "
