"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,744 ","suppressed","suppressed","suppressed","1,247 ","1,835 ","suppressed","1,729 ","172.08 ","suppressed","suppressed","suppressed","328.85 ","203.17 ","suppressed","180.65 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","17.7% ","22.2% ","17.6% ","26.5% ","14.8% ","17.1% ","22.4% ","16.9% ","1.09% ","6.28% ","4.93% ","2.88% ","1.80% ","1.54% ","3.02% ","1.15% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.5% ","suppressed","suppressed","suppressed","24.9% ","15.2% ","suppressed","17.9% ","2.06% ","suppressed","suppressed","suppressed","4.73% ","2.32% ","suppressed","2.07% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.2% ","suppressed","suppressed","26.3% ","11.5% ","17.8% ","23.8% ","16.0% ","1.34% ","suppressed","suppressed","3.42% ","1.89% ","1.94% ","3.41% ","1.42% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.6% ","suppressed","suppressed","suppressed","21.6% ","17.1% ","suppressed","20.9% ","2.23% ","suppressed","suppressed","suppressed","2.66% ","3.14% ","suppressed","2.19% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","19.8% ","suppressed","suppressed","26.7% ","16.5% ","17.3% ","22.4% ","18.7% ","1.80% ","suppressed","suppressed","3.27% ","2.42% ","3.80% ","3.46% ","2.00% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","16.4% ","suppressed","suppressed","25.2% ","11.8%*","17.0% ","suppressed","16.1% ","1.50% ","suppressed","suppressed","4.81% ","3.65%*","1.60% ","suppressed","1.54% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","56.8% ","53.0% ","77.0% ","62.4% ","52.9% ","56.4% ","63.0% ","55.6% ","1.44% ","8.89% ","6.12% ","5.32% ","2.66% ","1.67% ","4.84% ","1.42% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","11.5% ","33.4%*","36.3%*","8.7%*","11.5%*","6.8%*","28.2% ","7.9%*","3.18% ","13.28%*","14.07%*","4.57%*","7.40%*","4.23%*","7.15% ","3.53%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","57.5% ","13.5%*","19.3%*","15.8%*","35.9%*","87.8% ","20.9% ","65.4% ","4.41% ","9.27%*","10.53%*","5.77%*","11.08%*","4.46% ","5.54% ","5.17% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","57.5% ","49.3% ","76.9% ","62.7% ","53.9% ","55.5% ","61.3% ","55.8% ","2.70% ","9.09% ","7.48% ","6.14% ","3.78% ","3.85% ","5.64% ","2.83% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","56.2% ","suppressed","77.3% ","60.6% ","51.1% ","56.5% ","70.8% ","55.5% ","1.80% ","suppressed","5.22% ","8.73% ","4.89% ","1.80% ","6.61% ","1.82% "
