"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,142 ","suppressed","suppressed","2,060 ","1,741 ","suppressed","2,626 ","1,730 ","405.25 ","suppressed","suppressed","363.95 ","412.11 ","suppressed","742.77 ","275.06 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,579 ","suppressed","suppressed","suppressed","1,232 ","1,695 ","1,604*","1,576 ","93.47 ","suppressed","suppressed","suppressed","175.74 ","92.25 ","484.86*","86.36 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.3% ","suppressed","32.9% ","20.8% ","16.8% ","18.3% ","23.8% ","18.2% ","1.35% ","suppressed","7.37% ","3.35% ","2.22% ","1.03% ","5.23% ","0.95% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.0% ","suppressed","suppressed","suppressed","suppressed","16.1% ","suppressed","18.1% ","2.46% ","suppressed","suppressed","suppressed","suppressed","2.36% ","suppressed","2.32% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.9% ","suppressed","suppressed","23.7% ","15.2% ","19.5% ","20.3% ","18.5% ","1.20% ","suppressed","suppressed","3.35% ","2.44% ","1.10% ","4.17% ","1.07% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","23.7% ","suppressed","48.5% ","suppressed","15.5% ","suppressed","suppressed","16.3% ","6.17% ","suppressed","1.97% ","suppressed","3.90% ","suppressed","suppressed","3.29% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","24.6% ","suppressed","suppressed","25.9% ","22.5% ","suppressed","27.6% ","21.6% ","4.23% ","suppressed","suppressed","4.76% ","5.58% ","suppressed","7.20% ","3.57% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.6% ","suppressed","suppressed","suppressed","14.3% ","18.5% ","18.1% ","17.5% ","0.98% ","suppressed","suppressed","suppressed","1.90% ","1.09% ","4.75% ","0.93% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","60.1% ","71.4% ","68.4% ","68.8% ","58.5% ","56.6% ","69.9% ","58.1% ","1.52% ","11.24% ","6.45% ","4.76% ","2.83% ","1.90% ","4.97% ","1.52% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","7.1% ","suppressed","5.8%*","8.5%*","13.5%*","0.6%*","16.7%*","4.7%*","2.10% ","suppressed","4.22%*","4.39%*","6.19%*","0.40%*","7.20%*","1.90%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","74.7% ","suppressed","18.0%*","69.4% ","67.2% ","92.9% ","41.1% ","83.0% ","4.05% ","suppressed","9.19%*","9.97% ","8.89% ","3.53% ","10.55% ","3.82% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","65.7% ","suppressed","70.0% ","57.9% ","65.4% ","59.6% ","68.4% ","63.5% ","3.38% ","suppressed","5.54% ","5.99% ","6.05% ","3.71% ","6.02% ","3.52% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","58.4% ","suppressed","suppressed","75.0% ","55.6% ","56.4% ","72.1% ","57.1% ","1.72% ","suppressed","suppressed","6.16% ","3.11% ","2.04% ","7.17% ","1.73% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","26,830 ","suppressed","28,283 ","25,943 ","24,578 ","27,748 ","27,269 ","26,754 ","719.89 ","suppressed","2690.42 ","1547.83 ","1029.37 ","1005.15 ","2022.61 ","765.16 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","26,378 ","suppressed","suppressed","suppressed","25,025 ","26,035 ","31,908 ","25,694 ","992.78 ","suppressed","suppressed","suppressed","2985.31 ","807.66 ","1864.02 ","890.02 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","26,124 ","suppressed","27,634 ","25,695 ","23,797 ","27,540 ","25,640 ","26,222 ","939.75 ","suppressed","3644.36 ","1443.89 ","1264.86 ","1315.60 ","2410.34 ","1018.15 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","31,239 ","suppressed","suppressed","suppressed","27,655 ","32,852 ","32,562 ","31,097 ","2647.36 ","suppressed","suppressed","suppressed","1348.75 ","4580.81 ","1372.34 ","2936.33 "
