"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","62.8% ","15.1%*","39.1%*","59.5% ","96.7% ","96.9% ","28.9% ","96.0% ","4.12% ","4.74%*","11.85%*","11.53% ","2.77% ","2.47% ","5.10% ","2.02% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","37.3% ","suppressed","suppressed","27.8% ","24.2% ","54.7% ","23.1% ","41.4% ","5.30% ","suppressed","suppressed","5.25% ","6.46% ","9.50% ","6.00% ","6.55% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","51.2% ","suppressed","suppressed","suppressed","50.6% ","52.1% ","suppressed","51.6% ","6.79% ","suppressed","suppressed","suppressed","13.82% ","9.42% ","suppressed","7.64% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","19.1% ","suppressed","suppressed","10.8%*","12.3%*","28.5% ","11.3%*","21.4% ","3.23% ","suppressed","suppressed","3.25%*","5.93%*","5.61% ","4.28%*","4.02% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,225 ","8,099 ","9,146 ","8,725 ","8,321 ","10,232 ","8,594 ","9,407 ","243.05 ","1285.94 ","585.06 ","532.19 ","539.25 ","348.58 ","486.71 ","283.80 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,686 ","suppressed","6,624 ","9,860 ","10,452 ","9,433 ","9,108 ","9,909 ","721.64 ","suppressed","356.15 ","1031.03 ","1963.03 ","219.13 ","1105.26 ","901.30 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,076 ","suppressed","9,364 ","8,253 ","8,007 ","10,164 ","8,428 ","9,250 ","268.00 ","suppressed","638.33 ","652.22 ","513.87 ","394.78 ","585.43 ","305.56 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,061 ","suppressed","suppressed","9,190 ","7,487 ","11,475 ","9,098 ","10,390 ","507.54 ","suppressed","suppressed","633.88 ","1418.38 ","538.85 ","693.85 ","629.62 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,878 ","8,089 ","9,348 ","8,535 ","8,168 ","10,847 ","8,643 ","9,016 ","357.39 ","1297.81 ","633.83 ","553.33 ","710.12 ","581.45 ","509.03 ","484.95 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,687 ","suppressed","suppressed","10,608 ","8,624 ","10,038 ","suppressed","9,743 ","317.37 ","suppressed","suppressed","994.17 ","767.65 ","388.25 ","suppressed","327.49 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,499 ","1,602*","1,233*","1,403 ","1,343 ","1,687 ","1,448 ","1,514 ","116.98 ","630.42*","414.31*","304.20 ","156.23 ","206.80 ","275.87 ","128.08 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,030 ","suppressed","suppressed","suppressed","1,125 ","suppressed","1,019*","1,034 ","201.69 ","suppressed","suppressed","suppressed","248.91 ","suppressed","385.20*","234.65 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,494 ","suppressed","suppressed","1,401 ","1,406 ","1,585 ","1,479 ","1,498 ","132.43 ","suppressed","suppressed","393.89 ","174.64 ","209.35 ","351.95 ","139.10 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,459 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2,595 ","490.33 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","634.16 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,507 ","1,599*","1,323*","1,394 ","1,528 ","1,722 ","1,495 ","1,514 ","157.60 ","636.55*","456.16*","326.32 ","193.65 ","370.73 ","285.75 ","184.35 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,490 ","suppressed","suppressed","suppressed","976 ","1,676 ","suppressed","1,514 ","172.37 ","suppressed","suppressed","suppressed","166.60 ","245.91 ","suppressed","177.04 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","16.3% ","19.8%*","13.5%*","16.1% ","16.1% ","16.5% ","16.9% ","16.1% ","1.27% ","6.23%*","4.47%*","3.63% ","2.51% ","1.76% ","3.06% ","1.39% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","10.6% ","suppressed","suppressed","suppressed","10.8%*","suppressed","11.2%*","10.4% ","2.13% ","suppressed","suppressed","suppressed","3.34%*","suppressed","4.55%*","2.36% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","16.5% ","suppressed","suppressed","17.0%*","17.6% ","15.6% ","17.5% ","16.2% ","1.47% ","suppressed","suppressed","5.15%*","2.87% ","1.82% ","3.95% ","1.55% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","24.4% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","25.0% ","4.38% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","5.48% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.0% ","19.8%*","14.2%*","16.3% ","18.7% ","15.9% ","17.3% ","16.8% ","1.85% ","6.30%*","4.82%*","4.00% ","3.47% ","3.32% ","3.15% ","2.27% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","15.4% ","suppressed","suppressed","suppressed","11.3% ","16.7% ","suppressed","15.5% ","1.62% ","suppressed","suppressed","suppressed","2.35% ","2.10% ","suppressed","1.64% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","63.4% ","73.7% ","75.7% ","70.6% ","68.1% ","55.4% ","72.4% ","61.2% ","1.75% ","6.17% ","3.04% ","5.69% ","3.13% ","2.73% ","2.84% ","2.05% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","23.4% ","55.4% ","54.4% ","44.1% ","12.4%*","11.0%*","49.1% ","16.0% ","3.70% ","10.41% ","15.94% ","10.97% ","4.60%*","4.27%*","7.94% ","3.90% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","43.0% ","0.9%*","11.9%*","9.1%*","33.5% ","76.0% ","5.3%*","53.8% ","5.03% ","0.96%*","7.71%*","6.47%*","7.82% ","7.71% ","3.22%*","6.02% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","72.1% ","75.1% ","76.0% ","77.8% ","69.7% ","65.1% ","72.9% ","71.7% ","2.41% ","6.28% ","3.49% ","4.41% ","4.50% ","7.08% ","2.99% ","3.39% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","54.6% ","suppressed","73.7% ","suppressed","65.2% ","52.9% ","suppressed","54.4% ","2.25% ","suppressed","5.11% ","suppressed","3.17% ","2.80% ","suppressed","2.28% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","27,182 ","suppressed","21,601 ","23,151 ","24,101 ","30,121 ","21,815 ","28,022 ","675.63 ","suppressed","2262.97 ","3033.83 ","1338.46 ","578.25 ","1677.40 ","746.38 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","22,704 ","suppressed","suppressed","suppressed","22,043 ","28,913 ","suppressed","22,459 ","2954.03 ","suppressed","suppressed","suppressed","2436.73 ","547.05 ","suppressed","3455.29 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","27,304 ","suppressed","suppressed","26,588 ","24,496 ","29,574 ","21,560 ","28,243 ","642.57 ","suppressed","suppressed","1789.85 ","1503.85 ","688.12 ","1933.61 ","657.11 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","31,778 ","suppressed","suppressed","suppressed","suppressed","34,181 ","suppressed","32,426 ","2041.18 ","suppressed","suppressed","suppressed","suppressed","2202.51 ","suppressed","2134.40 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","25,153 ","suppressed","suppressed","24,866 ","25,636 ","30,711 ","21,715 ","27,149 ","972.60 ","suppressed","suppressed","1912.23 ","1484.74 ","1165.36 ","1745.43 ","1156.00 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","28,283 ","suppressed","suppressed","suppressed","20,892 ","30,037 ","suppressed","28,324 ","911.93 ","suppressed","suppressed","suppressed","2105.01 ","628.38 ","suppressed","920.34 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","9,374 ","suppressed","9,799 ","6,888 ","8,201 ","10,544 ","8,246 ","9,550 ","1051.02 ","suppressed","1242.81 ","1964.96 ","1106.86 ","1677.55 ","1329.13 ","1199.38 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,832*","suppressed","suppressed","suppressed","8,734 ","suppressed","suppressed","3,263*","1706.18*","suppressed","suppressed","suppressed","1739.89 ","suppressed","suppressed","1267.28*"
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","10,025 ","suppressed","suppressed","8,220 ","8,413 ","11,317 ","7,385 ","10,456 ","1310.71 ","suppressed","suppressed","1490.00 ","1290.46 ","2133.03 ","1349.91 ","1507.90 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","9,712*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","9,673*","3127.26*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","3266.82*"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,082 ","suppressed","suppressed","9,610 ","9,376 ","4,884 ","8,221 ","8,002 ","913.98 ","suppressed","suppressed","2171.31 ","1501.13 ","1185.45 ","1389.57 ","1203.28 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","10,074 ","suppressed","suppressed","suppressed","5,742 ","11,347 ","suppressed","10,087 ","1580.96 ","suppressed","suppressed","suppressed","593.18 ","1936.07 ","suppressed","1596.58 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","34.5% ","suppressed","45.4% ","29.8% ","34.0% ","35.0% ","37.8% ","34.1% ","3.67% ","suppressed","4.23% ","6.73% ","5.43% ","5.22% ","6.37% ","4.04% "
